"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"B","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.95009,0.00252165750363854,0.949,0.98,0.00072,0.05153,0.332826945829101,0.927662145115879,0.0261665219065673,0.0252165750363854,5.85754661149361,35.4647963170024,0.107741262378262
"C","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.928355,0.0097983334364224,0.94625,0.8,0.012295,0.052945,0.387774349852725,0.895224713949736,0.0291791748071162,0.097983334364224,5.69461311418798,35.069295042589,0.106926403837494
"B","C2",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.94949,0.00148528098215778,0.95025,1,0,0.04949,0.345798082502454,0.916878337492081,0.0210137040422615,0.0148528098215778,7.39880661478002,69.4550520301501,0.104279260834171
"C","C2",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.927375,0.00245907282149475,0.92975,0.88,0.00207,0.031515,0.437415540170618,0.896681208509225,0.0223405687058546,0.0245907282149475,7.10942976202838,68.2596180157725,0.103740191925352
"B","C3",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.9484,0.00153313569213721,0.951,1,0,0.0484,0.338130736654931,0.929443301898198,0.0139156913104044,0.0153313569213721,5.49415666839283,71.5002663710532,0.103648877958428
"C","C3",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.93908,0.0020934809830191,0.94175,0.97,0.000620000000000002,0.04032,0.409857848888284,0.909814688792023,0.018348753845337,0.020934809830191,5.46413985640387,69.0583964444615,0.103400279797361
"B","C2",600,0.6,"weibull_cox","Clip-IPCW",100,0.93502,0.00213323768724984,0.9375,0.92,0.000690000000000003,0.0364,0.386374606100099,0.901334456200693,0.0242584984587824,0.0213323768724984,3.81594876135097,80.3105226148554,0.103933269292278
"C","C2",600,0.6,"weibull_cox","Clip-IPCW",99,0.922338383838384,0.00277604816750446,0.9285,0.757575757575758,0.00381818181818183,0.0299747474747475,0.452760864766469,0.88928223207929,0.0276231524043299,0.027621330514698,3.5790876608207,81.6406502118326,0.103599331485791
"B","C3",600,0.6,"weibull_cox","Clip-IPCW",100,0.92957,0.00225726682856802,0.932,0.9,0.001415,0.0324,0.376437083051351,0.901183873708292,0.0237835356004225,0.0225726682856802,3.33432792410441,80.4926046083533,0.103397504903597
"C","C3",600,0.6,"weibull_cox","Clip-IPCW",100,0.924465,0.0027608212710911,0.92775,0.82,0.0039,0.032265,0.442835297040665,0.891622899426134,0.0273907379464761,0.027608212710911,3.35049030556194,79.4945028605026,0.104073355902099
"B","C2",1200,0.6,"weibull_cox","Clip-IPCW",100,0.936085,0.00150837820124125,0.938,0.98,1.00000000000011e-05,0.036105,0.37901233829572,0.90277436521229,0.0153409072203516,0.0150837820124125,3.77460949278972,160.828640849546,0.102147570079968
"C","C2",1200,0.6,"weibull_cox","Clip-IPCW",100,0.91513,0.00942152762710394,0.92525,0.89,0.009975,0.03508,0.45433407087043,0.884008402105241,0.0210959807555943,0.0942152762710394,3.63143580352157,163.435220761815,0.101775335775168
"B","C3",1200,0.6,"weibull_cox","Clip-IPCW",100,0.93022,0.0018388391155643,0.93175,0.92,0.000810000000000003,0.03184,0.389349239072193,0.907931979006934,0.0148650495111754,0.018388391155643,3.33684857228611,161.816714153381,0.102066426378923
"C","C3",1200,0.6,"weibull_cox","Clip-IPCW",100,0.92706,0.00181662190659343,0.92725,0.93,0.000320000000000003,0.0277,0.44748411027697,0.895545710463837,0.0186609839834968,0.0181662190659343,3.28175697451285,162.257811537918,0.101787465442875
"B","C2",600,0.8,"weibull_cox","Clip-IPCW",100,0.94918,0.002535420989887,0.95175,0.98,0.00124,0.05166,0.329119675842909,0.912099712105991,0.0346554469023269,0.02535420989887,7.24570464148101,34.9603459958983,0.108005825617477
"C","C2",600,0.8,"weibull_cox","Clip-IPCW",100,0.929335,0.00364796923581526,0.93475,0.75,0.00515500000000001,0.039645,0.417952312862281,0.892708231843314,0.0349724278120737,0.0364796923581526,7.04412076790082,34.8439739001629,0.108186967464513
"B","C3",600,0.8,"weibull_cox","Clip-IPCW",100,0.94809,0.002711101196372,0.94825,0.96,0.001245,0.05058,0.33653413635164,0.924231225569733,0.0258245830732868,0.02711101196372,5.85754661149361,35.4647963170024,0.107741262378262
"C","C3",600,0.8,"weibull_cox","Clip-IPCW",100,0.927695,0.00976089884242846,0.9435,0.84,0.012425,0.052545,0.401142895964109,0.892925393909935,0.0280324487303229,0.0976089884242846,5.69461311418798,35.069295042589,0.106926403837494
"B","C2",1200,0.8,"weibull_cox","Clip-IPCW",100,0.952885,0.00140647591339116,0.95325,1,0,0.052885,0.33550625178416,0.921980771860072,0.0205113912672245,0.0140647591339116,7.39880661478002,69.4550520301501,0.104279260834171
"C","C2",1200,0.8,"weibull_cox","Clip-IPCW",100,0.934675,0.00233081438709107,0.937,0.9,0.001075,0.036825,0.424866626288465,0.905411978061423,0.0212289111041209,0.0233081438709107,7.10942976202838,68.2596180157725,0.103740191925352
"B","C3",1200,0.8,"weibull_cox","Clip-IPCW",100,0.95144,0.00159187139727258,0.95475,0.99,0.000145000000000001,0.05173,0.329235320232948,0.933357268278258,0.014389600621998,0.0159187139727258,5.49415666839283,71.5002663710532,0.103648877958428
"C","C3",1200,0.8,"weibull_cox","Clip-IPCW",100,0.94149,0.00203046220542929,0.94375,0.98,0.000155000000000001,0.0418,0.399272360644976,0.912906564782591,0.0180448375336594,0.0203046220542929,5.46413985640387,69.0583964444615,0.103400279797361
"B","C2",600,0.6,"weibull_cox","H-AIPCW",100,0.925625,0.00478384473562275,0.927,0.82,0.006215,0.038055,0.410228172909146,0.89191568387967,0.0541135170477093,0.0478384473562275,132.946735237234,42.4525880694688,NA
"C","C2",600,0.6,"weibull_cox","H-AIPCW",99,0.897439393939394,0.00765295240516576,0.908,0.595959595959596,0.0247474747474748,0.0469343434343434,0.500194569875064,0.861562178436577,0.0677904662163716,0.0761459149991483,57.3452443037942,50.4279332096794,NA
"B","C3",600,0.6,"weibull_cox","H-AIPCW",100,0.869425,0.0129573920538966,0.89875,0.49,0.052545,0.074515,0.448709737563239,0.83374291067267,0.105247375744054,0.129573920538966,500.545935978055,37.4856620146634,NA
"C","C3",600,0.6,"weibull_cox","H-AIPCW",100,0.894465,0.0110143828261235,0.911,0.62,0.0359,0.066265,0.490478772704787,0.861945652719491,0.0950259932541586,0.110143828261235,1790.99477135287,37.5146271122927,NA
"B","C2",1200,0.6,"weibull_cox","H-AIPCW",100,0.916725,0.00572599237131553,0.918,0.76,0.01083,0.038385,0.430338651174207,0.879611521314923,0.0615473046288033,0.0572599237131553,348.698431350775,68.8300540071117,NA
"C","C2",1200,0.6,"weibull_cox","H-AIPCW",100,0.87582,0.0134571852310739,0.897,0.48,0.046235,0.06829,0.526774292672048,0.840970005152212,0.0941552554094147,0.134571852310739,270.528226752903,89.2302482912294,NA
"B","C3",1200,0.6,"weibull_cox","H-AIPCW",100,0.874415,0.0118734213304721,0.893,0.42,0.04352,0.061455,0.460924322196744,0.846822898049598,0.0986762894570428,0.118734213304721,102.258472382666,52.9145064229801,NA
"C","C3",1200,0.6,"weibull_cox","H-AIPCW",100,0.894175,0.00795938990289222,0.8985,0.48,0.028875,0.051925,0.51848102026865,0.85944313035979,0.0747555612606443,0.0795938990289222,30695.5456648239,63.6126765702466,NA
"B","C2",600,0.8,"weibull_cox","H-AIPCW",100,0.91659,0.00598450600477701,0.931,0.69,0.015625,0.04784,0.379297290552851,0.868067365064985,0.0848182251236803,0.0598450600477701,146.424054117011,17.8417099207436,NA
"C","C2",600,0.8,"weibull_cox","H-AIPCW",100,0.879035,0.00958291370622788,0.889,0.43,0.042395,0.063825,0.542284170272415,0.831990001413484,0.0889032501025012,0.0958291370622788,310.775315961076,20.5636557571838,NA
"B","C3",600,0.8,"weibull_cox","H-AIPCW",100,0.873185,0.0131331557729114,0.91675,0.61,0.057755,0.088695,0.411114888862419,0.835645073718306,0.121651057529229,0.131331557729114,688.266020946579,16.5667365741452,NA
"C","C3",600,0.8,"weibull_cox","H-AIPCW",100,0.888565,0.012171679446796,0.91325,0.59,0.042305,0.073175,0.480742170257722,0.847293832656262,0.0721320338201433,0.12171679446796,921.574255687749,17.3662481023154,NA
"B","C2",1200,0.8,"weibull_cox","H-AIPCW",100,0.91381,0.00747789935662943,0.9235,0.71,0.019615,0.05304,0.405958687868562,0.868547269244534,0.0973385220700822,0.0747789935662943,4316.30462120963,26.9105784321252,NA
"C","C2",1200,0.8,"weibull_cox","H-AIPCW",100,0.879485,0.0084218344621033,0.891,0.43,0.0383,0.056085,0.538189187039974,0.841988528354169,0.0754780053587089,0.084218344621033,88.0761559576941,36.6541676841766,NA
"B","C3",1200,0.8,"weibull_cox","H-AIPCW",100,0.84924,0.0131726961261666,0.88625,0.43,0.07024,0.08972,0.472750969755861,0.816480301857107,0.121624359601541,0.131726961261665,806.813886834498,24.0733244123114,NA
"C","C3",1200,0.8,"weibull_cox","H-AIPCW",100,0.873635,0.00866859784719326,0.882,0.39,0.0453,0.064235,0.556493835742737,0.83560509094299,0.0763574793092638,0.0866859784719326,127.902940009565,24.9746096854662,NA
"B","C2",600,0.6,"weibull_cox","H-IPCW",100,0.91471,0.00640059253885801,0.9265,0.72,0.01247,0.03965,0.410345682450246,0.876007700432913,0.0673578563204086,0.0640059253885801,132.946735237234,42.4525880694688,NA
"C","C2",600,0.6,"weibull_cox","H-IPCW",99,0.895419191919192,0.00788552105666594,0.912,0.585858585858586,0.0227020202020202,0.0408232323232323,0.496776600851662,0.857976497260782,0.0624174573469095,0.0784599438642233,57.3452443037942,50.4279332096794,NA
"B","C3",600,0.6,"weibull_cox","H-IPCW",100,0.88296,0.0100628848003468,0.90825,0.6,0.034475,0.05191,0.426928928112587,0.845977205754859,0.0767635093233521,0.100628848003468,500.545935978055,37.4856620146634,NA
"C","C3",600,0.6,"weibull_cox","H-IPCW",100,0.89019,0.00814692970611406,0.90775,0.57,0.028045,0.04628,0.491669620324471,0.851669534786858,0.0709744583450535,0.0814692970611405,1790.99477135287,37.5146271122927,NA
"B","C2",1200,0.6,"weibull_cox","H-IPCW",100,0.90993,0.00630261297423777,0.92075,0.85,0.01443,0.03879,0.418971465002953,0.868173608267503,0.0653236696625489,0.0630261297423777,348.698431350775,68.8300540071117,NA
"C","C2",1200,0.6,"weibull_cox","H-IPCW",100,0.89279,0.0105486754877309,0.9125,0.62,0.02343,0.03965,0.492297624963605,0.858284188261002,0.0508126883064584,0.105486754877309,270.528226752903,89.2302482912294,NA
"B","C3",1200,0.6,"weibull_cox","H-IPCW",100,0.893905,0.00531946442489061,0.905,0.56,0.01863,0.031165,0.445462202987551,0.866081961334963,0.040558101483669,0.0531946442489061,102.258472382666,52.9145064229801,NA
"C","C3",1200,0.6,"weibull_cox","H-IPCW",100,0.89075,0.00837127272705334,0.90625,0.62,0.02372,0.03819,0.503898817349239,0.854656096620866,0.067342858612184,0.0837127272705334,30695.5456648239,63.6126765702466,NA
"B","C2",600,0.8,"weibull_cox","H-IPCW",100,0.926295,0.00579594988772419,0.938,0.88,0.010845,0.047985,0.366414053524236,0.877250611700924,0.0844764625636794,0.0579594988772419,146.424054117011,17.8417099207436,NA
"C","C2",600,0.8,"weibull_cox","H-IPCW",100,0.908265,0.00588322154155958,0.9185,0.61,0.018715,0.045695,0.46587516788182,0.866310993792227,0.0448200667540599,0.0588322154155958,310.775315961076,20.5636557571838,NA
"B","C3",600,0.8,"weibull_cox","H-IPCW",100,0.886115,0.0116086715563423,0.92525,0.71,0.042565,0.071245,0.394351342088729,0.850425086780316,0.109968360922769,0.116086715563423,688.266020946579,16.5667365741452,NA
"C","C3",600,0.8,"weibull_cox","H-IPCW",100,0.893645,0.0120573718910545,0.926,0.63,0.035375,0.064395,0.44342171455942,0.852015774154653,0.0667593295413314,0.120573718910545,921.574255687749,17.3662481023154,NA
"B","C2",1200,0.8,"weibull_cox","H-IPCW",100,0.923905,0.00560431244037062,0.93475,0.85,0.012075,0.048055,0.381335286334453,0.88039825823869,0.0723350788785333,0.0560431244037062,4316.30462120963,26.9105784321252,NA
"C","C2",1200,0.8,"weibull_cox","H-IPCW",100,0.91875,0.00456903555015562,0.92225,0.77,0.00962500000000001,0.038,0.461181517217822,0.885626948789303,0.036167399797066,0.0456903555015562,88.0761559576941,36.6541676841766,NA
"B","C3",1200,0.8,"weibull_cox","H-IPCW",100,0.899195,0.0085949183218688,0.9255,0.71,0.028475,0.056145,0.392850417105783,0.872120882468885,0.0750041076316235,0.085949183218688,806.813886834498,24.0733244123114,NA
"C","C3",1200,0.8,"weibull_cox","H-IPCW",100,0.90407,0.00820744002214891,0.926,0.71,0.02084,0.04575,0.448614363231326,0.87044704487196,0.0638653887390336,0.0820744002214891,127.902940009565,24.9746096854662,NA
