"method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"Clip-AIPCW",1599,0.932790806754221,0.00103769921950949,0.9365,0.90556597873671,0.00272951844903065,0.0382498436522827,0.396593022664789,0.902220927152448,0.028583121256464,0.041494995512746,4.9641796532213,86.8087557981973,0.104294767714753
"Clip-IPCW",1599,0.934675109443402,0.00103756460826573,0.9385,0.90744215134459,0.00264790494058787,0.0399709193245778,0.390472352099936,0.904340978254736,0.0282089024273671,0.0414896127458989,4.9641796532213,86.8087557981973,0.104294767714753
"H-AIPCW",1599,0.888846779237023,0.00255019931307882,0.9075,0.559099437148218,0.0362823639774859,0.061411507191995,0.466846732171779,0.851345579865691,0.0899135782957773,0.101976090049324,2583.1411682591,39.2066946175136,NA
"H-IPCW",1599,0.901934959349593,0.00205386191809441,0.9195,0.687304565353346,0.0222757973733584,0.0464865540963102,0.439095584666994,0.864593034930838,0.0697755224802758,0.0821287994370973,2583.1411682591,39.2066946175136,NA
