"setting","mech","n","cens","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"C","C3",600,0.6,"Clip-IPCW",100,0.924465,0.0027608212710911,0.92775,0.82,0.0039,0.032265,0.442835297040665,0.891622899426134,0.0273907379464761,0.027608212710911,3.35049030556194,79.4945028605026,0.104073355902099
"B","C2",1200,0.6,"Clip-IPCW",100,0.936085,0.00150837820124125,0.938,0.98,1.00000000000011e-05,0.036105,0.37901233829572,0.90277436521229,0.0153409072203516,0.0150837820124125,3.77460949278972,160.828640849546,0.102147570079968
"C","C2",1200,0.6,"Clip-IPCW",100,0.91513,0.00942152762710394,0.92525,0.89,0.009975,0.03508,0.45433407087043,0.884008402105241,0.0210959807555943,0.0942152762710394,3.63143580352157,163.435220761815,0.101775335775168
"B","C3",1200,0.6,"Clip-IPCW",100,0.93022,0.0018388391155643,0.93175,0.92,0.000810000000000003,0.03184,0.389349239072193,0.907931979006934,0.0148650495111754,0.018388391155643,3.33684857228611,161.816714153381,0.102066426378923
"C","C3",1200,0.6,"Clip-IPCW",100,0.92706,0.00181662190659343,0.92725,0.93,0.000320000000000003,0.0277,0.44748411027697,0.895545710463837,0.0186609839834968,0.0181662190659343,3.28175697451285,162.257811537918,0.101787465442875
"B","C2",600,0.8,"Clip-IPCW",100,0.94918,0.002535420989887,0.95175,0.98,0.00124,0.05166,0.329119675842909,0.912099712105991,0.0346554469023269,0.02535420989887,7.24570464148101,34.9603459958983,0.108005825617477
"C","C2",600,0.8,"Clip-IPCW",100,0.929335,0.00364796923581526,0.93475,0.75,0.00515500000000001,0.039645,0.417952312862281,0.892708231843314,0.0349724278120737,0.0364796923581526,7.04412076790082,34.8439739001629,0.108186967464513
"B","C3",600,0.8,"Clip-IPCW",100,0.94809,0.002711101196372,0.94825,0.96,0.001245,0.05058,0.33653413635164,0.924231225569733,0.0258245830732868,0.02711101196372,5.85754661149361,35.4647963170024,0.107741262378262
"C","C3",600,0.8,"Clip-IPCW",100,0.927695,0.00976089884242846,0.9435,0.84,0.012425,0.052545,0.401142895964109,0.892925393909935,0.0280324487303229,0.0976089884242846,5.69461311418798,35.069295042589,0.106926403837494
"B","C2",1200,0.8,"Clip-IPCW",100,0.952885,0.00140647591339116,0.95325,1,0,0.052885,0.33550625178416,0.921980771860072,0.0205113912672245,0.0140647591339116,7.39880661478002,69.4550520301501,0.104279260834171
"C","C2",1200,0.8,"Clip-IPCW",100,0.934675,0.00233081438709107,0.937,0.9,0.001075,0.036825,0.424866626288465,0.905411978061423,0.0212289111041209,0.0233081438709107,7.10942976202838,68.2596180157725,0.103740191925352
"B","C3",1200,0.8,"Clip-IPCW",100,0.95144,0.00159187139727258,0.95475,0.99,0.000145000000000001,0.05173,0.329235320232948,0.933357268278258,0.014389600621998,0.0159187139727258,5.49415666839283,71.5002663710532,0.103648877958428
"C","C3",1200,0.8,"Clip-IPCW",100,0.94149,0.00203046220542929,0.94375,0.98,0.000155000000000001,0.0418,0.399272360644976,0.912906564782591,0.0180448375336594,0.0203046220542929,5.46413985640387,69.0583964444615,0.103400279797361
"B","C2",600,0.6,"DR-COSARC (adaptive)",100,0.929695,0.0012609499185018,0.9285,1,0,0.029695,0.413449425877984,0.900004683433575,NA,0.012609499185018,NA,NA,NA
"C","C2",600,0.6,"DR-COSARC (adaptive)",99,0.917323232323232,0.00166810873190605,0.917,0.888888888888889,0.00145959595959596,0.0202424242424242,0.489976299516062,0.89250986389599,NA,0.0165974723197437,NA,NA,NA
"B","C3",600,0.6,"DR-COSARC (adaptive)",100,0.924355,0.00136484163065452,0.92625,0.97,6.00000000000012e-05,0.024475,0.41826031326627,0.900330842995021,NA,0.0136484163065452,NA,NA,NA
"C","C3",600,0.6,"DR-COSARC (adaptive)",100,0.92112,0.00166001886322494,0.92175,0.89,0.000915000000000004,0.02295,0.476351774642397,0.896377847521609,NA,0.0166001886322494,NA,NA,NA
"B","C2",1200,0.6,"DR-COSARC (adaptive)",100,0.92666,0.00116278314679249,0.9255,0.99,2.50000000000006e-05,0.02671,0.418358699272459,0.896929954449455,NA,0.0116278314679249,NA,NA,NA
"C","C2",1200,0.6,"DR-COSARC (adaptive)",100,0.91502,0.00135958847011911,0.914,0.86,0.000840000000000005,0.0167,0.493605755729789,0.89232836177464,NA,0.0135958847011911,NA,NA,NA
"B","C3",1200,0.6,"DR-COSARC (adaptive)",100,0.91946,0.0011999301326462,0.9195,0.95,0.000240000000000001,0.01994,0.429628913171381,0.898062683743471,NA,0.011999301326462,NA,NA,NA
"C","C3",1200,0.6,"DR-COSARC (adaptive)",100,0.91939,0.00124053141105664,0.9185,0.96,0.000170000000000001,0.01973,0.485846992096937,0.896654291156852,NA,0.0124053141105664,NA,NA,NA
"B","C2",600,0.8,"DR-COSARC (adaptive)",100,0.94627,0.00125411282981197,0.946,1,0,0.04627,0.349869694176816,0.911834427503903,NA,0.0125411282981197,NA,NA,NA
"C","C2",600,0.8,"DR-COSARC (adaptive)",100,0.931065,0.00154908990877048,0.932,0.97,0.000255000000000001,0.031575,0.450281184665459,0.902114774174893,NA,0.0154908990877048,NA,NA,NA
"B","C3",600,0.8,"DR-COSARC (adaptive)",100,0.935675,0.00153789464837321,0.9355,0.98,1.00000000000011e-05,0.035695,0.342151137992073,0.906674499265623,NA,0.0153789464837321,NA,NA,NA
"C","C3",600,0.8,"DR-COSARC (adaptive)",100,0.939365,0.00146421722114824,0.9395,0.99,5.00000000000056e-06,0.039375,0.360393538591066,0.902319115451565,NA,0.0146421722114824,NA,NA,NA
"B","C2",1200,0.8,"DR-COSARC (adaptive)",100,0.944585,0.00100634489639738,0.945,1,0,0.044585,0.360509984316272,0.912284947289294,NA,0.0100634489639738,NA,NA,NA
"C","C2",1200,0.8,"DR-COSARC (adaptive)",100,0.928945,0.00130859426079818,0.93025,0.99,3e-05,0.029005,0.465640406010515,0.902850055456912,NA,0.0130859426079818,NA,NA,NA
"B","C3",1200,0.8,"DR-COSARC (adaptive)",100,0.9337,0.00109482252609104,0.93325,1,0,0.0337,0.351831643693538,0.909729793799886,NA,0.0109482252609104,NA,NA,NA
"C","C3",1200,0.8,"DR-COSARC (adaptive)",100,0.939425,0.00111740986123257,0.9395,1,0,0.039425,0.374405089745113,0.9044690659677,NA,0.0111740986123257,NA,NA,NA
"B","C2",600,0.6,"DR-COSARC (fixed)",100,0.95174,0.00157567493955813,0.9525,1,0,0.05174,0.37342056623869,0.930404402693568,NA,0.0157567493955813,NA,NA,NA
"C","C2",600,0.6,"DR-COSARC (fixed)",99,0.959777777777778,0.00206349206349206,0.9615,0.98989898989899,5.05050505050562e-06,0.0597878787878788,0.380097487813891,0.933319039925401,NA,0.0205314867974382,NA,NA,NA
"B","C3",600,0.6,"DR-COSARC (fixed)",100,0.944495,0.00200522669314696,0.9445,0.99,0.000115000000000001,0.044725,0.386699931570036,0.919667427716437,NA,0.0200522669314696,NA,NA,NA
"C","C3",600,0.6,"DR-COSARC (fixed)",100,0.94974,0.0019718278450476,0.9505,0.99,1e-04,0.04994,0.42872440696238,0.925482766282514,NA,0.019718278450476,NA,NA,NA
"B","C2",1200,0.6,"DR-COSARC (fixed)",100,0.95119,0.00118672752652925,0.951,1,0,0.05119,0.37383284582883,0.93524487326807,NA,0.0118672752652925,NA,NA,NA
"C","C2",1200,0.6,"DR-COSARC (fixed)",100,0.957045,0.00145216826737389,0.959,1,0,0.057045,0.401419183322086,0.93272332231973,NA,0.0145216826737389,NA,NA,NA
"B","C3",1200,0.6,"DR-COSARC (fixed)",100,0.939525,0.00153070220566387,0.94,1,0,0.039525,0.397791744823603,0.917613510802633,NA,0.0153070220566387,NA,NA,NA
"C","C3",1200,0.6,"DR-COSARC (fixed)",100,0.944405,0.0017220597104818,0.94425,1,0,0.044405,0.451983595609969,0.923963429434594,NA,0.017220597104818,NA,NA,NA
"B","C2",600,0.8,"DR-COSARC (fixed)",100,0.99959,7.92579218868248e-05,1,1,0,0.09959,0.0363295643160019,0.998707833211548,NA,0.000792579218868248,NA,NA,NA
"C","C2",600,0.8,"DR-COSARC (fixed)",100,0.99906,9.38190822915048e-05,0.99925,1,0,0.09906,0,0.996508790432754,NA,0.000938190822915048,NA,NA,NA
"B","C3",600,0.8,"DR-COSARC (fixed)",100,0.999665,5.50734128966123e-05,1,1,0,0.099665,0,0.998839187796331,NA,0.000550734128966123,NA,NA,NA
"C","C3",600,0.8,"DR-COSARC (fixed)",100,0.998805,0.000103936412184459,0.999,1,0,0.098805,0,0.996356378931437,NA,0.00103936412184459,NA,NA,NA
"B","C2",1200,0.8,"DR-COSARC (fixed)",100,0.999785,3.64144216075171e-05,1,1,0,0.099785,0.018022260282091,0.9992,NA,0.000364144216075171,NA,NA,NA
"C","C2",1200,0.8,"DR-COSARC (fixed)",100,0.999195,7.4500016948001e-05,0.9995,1,0,0.099195,0,0.99704,NA,0.00074500016948001,NA,NA,NA
"B","C3",1200,0.8,"DR-COSARC (fixed)",100,0.9997,4.08248290463846e-05,1,1,0,0.0997,0,0.99884,NA,0.000408248290463846,NA,NA,NA
"C","C3",1200,0.8,"DR-COSARC (fixed)",100,0.99893,8.96175938714781e-05,0.999,1,0,0.09893,0,0.99679725950093,NA,0.000896175938714781,NA,NA,NA
"B","C2",600,0.6,"H-AIPCW",100,0.925625,0.00478384473562275,0.927,0.82,0.006215,0.038055,0.410228172909146,0.89191568387967,0.0541135170477093,0.0478384473562275,132.946735237234,42.4525880694688,NA
"C","C2",600,0.6,"H-AIPCW",99,0.897439393939394,0.00765295240516576,0.908,0.595959595959596,0.0247474747474748,0.0469343434343434,0.500194569875064,0.861562178436577,0.0677904662163716,0.0761459149991483,57.3452443037942,50.4279332096794,NA
"B","C3",600,0.6,"H-AIPCW",100,0.869425,0.0129573920538966,0.89875,0.49,0.052545,0.074515,0.448709737563239,0.83374291067267,0.105247375744054,0.129573920538966,500.545935978055,37.4856620146634,NA
"C","C3",600,0.6,"H-AIPCW",100,0.894465,0.0110143828261235,0.911,0.62,0.0359,0.066265,0.490478772704787,0.861945652719491,0.0950259932541586,0.110143828261235,1790.99477135287,37.5146271122927,NA
"B","C2",1200,0.6,"H-AIPCW",100,0.916725,0.00572599237131553,0.918,0.76,0.01083,0.038385,0.430338651174207,0.879611521314923,0.0615473046288033,0.0572599237131553,348.698431350775,68.8300540071117,NA
"C","C2",1200,0.6,"H-AIPCW",100,0.87582,0.0134571852310739,0.897,0.48,0.046235,0.06829,0.526774292672048,0.840970005152212,0.0941552554094147,0.134571852310739,270.528226752903,89.2302482912294,NA
"B","C3",1200,0.6,"H-AIPCW",100,0.874415,0.0118734213304721,0.893,0.42,0.04352,0.061455,0.460924322196744,0.846822898049598,0.0986762894570428,0.118734213304721,102.258472382666,52.9145064229801,NA
"C","C3",1200,0.6,"H-AIPCW",100,0.894175,0.00795938990289222,0.8985,0.48,0.028875,0.051925,0.51848102026865,0.85944313035979,0.0747555612606443,0.0795938990289222,30695.5456648239,63.6126765702466,NA
"B","C2",600,0.8,"H-AIPCW",100,0.91659,0.00598450600477701,0.931,0.69,0.015625,0.04784,0.379297290552851,0.868067365064985,0.0848182251236803,0.0598450600477701,146.424054117011,17.8417099207436,NA
"C","C2",600,0.8,"H-AIPCW",100,0.879035,0.00958291370622788,0.889,0.43,0.042395,0.063825,0.542284170272415,0.831990001413484,0.0889032501025012,0.0958291370622788,310.775315961076,20.5636557571838,NA
"B","C3",600,0.8,"H-AIPCW",100,0.873185,0.0131331557729114,0.91675,0.61,0.057755,0.088695,0.411114888862419,0.835645073718306,0.121651057529229,0.131331557729114,688.266020946579,16.5667365741452,NA
"C","C3",600,0.8,"H-AIPCW",100,0.888565,0.012171679446796,0.91325,0.59,0.042305,0.073175,0.480742170257722,0.847293832656262,0.0721320338201433,0.12171679446796,921.574255687749,17.3662481023154,NA
"B","C2",1200,0.8,"H-AIPCW",100,0.91381,0.00747789935662943,0.9235,0.71,0.019615,0.05304,0.405958687868562,0.868547269244534,0.0973385220700822,0.0747789935662943,4316.30462120963,26.9105784321252,NA
"C","C2",1200,0.8,"H-AIPCW",100,0.879485,0.0084218344621033,0.891,0.43,0.0383,0.056085,0.538189187039974,0.841988528354169,0.0754780053587089,0.084218344621033,88.0761559576941,36.6541676841766,NA
"B","C3",1200,0.8,"H-AIPCW",100,0.84924,0.0131726961261666,0.88625,0.43,0.07024,0.08972,0.472750969755861,0.816480301857107,0.121624359601541,0.131726961261665,806.813886834498,24.0733244123114,NA
"C","C3",1200,0.8,"H-AIPCW",100,0.873635,0.00866859784719326,0.882,0.39,0.0453,0.064235,0.556493835742737,0.83560509094299,0.0763574793092638,0.0866859784719326,127.902940009565,24.9746096854662,NA
"B","C2",600,0.6,"H-IPCW",100,0.91471,0.00640059253885801,0.9265,0.72,0.01247,0.03965,0.410345682450246,0.876007700432913,0.0673578563204086,0.0640059253885801,132.946735237234,42.4525880694688,NA
"C","C2",600,0.6,"H-IPCW",99,0.895419191919192,0.00788552105666594,0.912,0.585858585858586,0.0227020202020202,0.0408232323232323,0.496776600851662,0.857976497260782,0.0624174573469095,0.0784599438642233,57.3452443037942,50.4279332096794,NA
"B","C3",600,0.6,"H-IPCW",100,0.88296,0.0100628848003468,0.90825,0.6,0.034475,0.05191,0.426928928112587,0.845977205754859,0.0767635093233521,0.100628848003468,500.545935978055,37.4856620146634,NA
