"rep","setting","mech","n","cens","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
5,"B","C2",600,0.6,"H-IPCW",0.08,0.956,0,0.0559999999999999,0.39911052369272,0.335481558637562,-1.08866458069372,0.943564356435644,31.4615989232579,31.5263069149434,26.8128424817519,2.82563304902234,NA
5,"B","C2",600,0.6,"Clip-IPCW",0.09,0.9405,0,0.0405,0.430087025558648,0.361519571945178,-1.01391538773119,0.922,2.86997106346831,4.17667695527128,86.1693858251821,1.33891053459734,0.106382978723404
5,"B","C2",600,0.6,"H-AIPCW",0.08,0.956,0,0.0559999999999999,0.39911052369272,0.335481558637562,-1.08866458069372,0.943564356435644,31.4615989232579,31.5263069149434,26.8128424817519,2.82563304902234,NA
5,"B","C2",600,0.6,"Clip-AIPCW",0.1,0.9265,0,0.0265,0.460000496932622,0.386664030447424,-0.94667539119096,0.906930693069307,2.86997106346831,4.17667695527128,86.1693858251821,1.33891053459734,0.106382978723404
5,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9665,0,0.0665,0.385804333192122,0.331341932135738,-1.28259515685475,0.956,NA,NA,NA,NA,NA
5,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9145,0,0.0145,0.477355331571446,0.42088998921825,-0.878711798764473,0.882,NA,NA,NA,NA,NA
5,"B","C2",600,0.6,"KM de-censoring",NA,0.9495,0,0.0495,0.435272239841417,0.350733514167163,-1.11743219202939,0.922,NA,NA,NA,NA,NA
5,"B","C2",600,0.6,"Oracle",NA,0.898,0.002,0.002,1.61454634581546,0.557790643120157,-0.472804000383736,0.88989898989899,NA,NA,NA,NA,NA
6,"B","C2",600,0.6,"H-IPCW",0.01,0.999,0,0.099,0.15317105544605,0.132099480169942,-2.0113127601996,0.996,102.747097286602,75.6540447363916,9.2074973427792,5.01703022654892,NA
6,"B","C2",600,0.6,"Clip-IPCW",0.08,0.944,0,0.0439999999999999,0.442771828484148,0.38186019027108,-0.949813489035158,0.928,3.18244175769558,4.03090600111835,90.9711355734496,1.28259652378184,0.105769230769231
6,"B","C2",600,0.6,"H-AIPCW",0.01,0.999,0,0.099,0.15317105544605,0.132099480169942,-2.0113127601996,0.996,102.747097286602,75.6540447363916,9.2074973427792,5.01703022654892,NA
6,"B","C2",600,0.6,"Clip-AIPCW",0.08,0.944,0,0.0439999999999999,0.442771828484148,0.38186019027108,-0.949813489035158,0.928,3.18244175769558,4.03090600111835,90.9711355734496,1.28259652378184,0.105769230769231
6,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.956,0,0.0559999999999999,0.439745622212162,0.384450875893826,-1.04944877416529,0.932,NA,NA,NA,NA,NA
6,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.941,0,0.0409999999999999,0.46834896838056,0.416702559636479,-0.896550986101013,0.929633300297324,NA,NA,NA,NA,NA
6,"B","C2",600,0.6,"KM de-censoring",NA,0.9795,0,0.0795,0.335573709855506,0.23542445030424,-3.39452647918728,0.938,NA,NA,NA,NA,NA
6,"B","C2",600,0.6,"Oracle",NA,0.9,0,0,1.18138667429344,0.586914948147328,-0.43994550264845,0.894,NA,NA,NA,NA,NA
7,"B","C2",600,0.6,"H-IPCW",0.07,0.9715,0,0.0715,0.346612049443735,0.302132276071714,-1.19554839749193,0.962,9.15320005086344,9.9926662024792,77.6855643259258,1.44848859825439,NA
7,"B","C2",600,0.6,"Clip-IPCW",0.08,0.9605,0,0.0605,0.377119222482282,0.328724547290912,-1.11119316140472,0.946,3.48358360970674,4.18523376122135,94.0142761466026,1.24871969315046,0.107142857142857
7,"B","C2",600,0.6,"H-AIPCW",0.08,0.9605,0,0.0605,0.377119222482282,0.328724547290912,-1.11119316140472,0.946,9.15320005086344,9.9926662024792,77.6855643259258,1.44848859825439,NA
7,"B","C2",600,0.6,"Clip-AIPCW",0.08,0.9605,0,0.0605,0.377119222482282,0.328724547290912,-1.11119316140472,0.946,3.48358360970674,4.18523376122135,94.0142761466026,1.24871969315046,0.107142857142857
7,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.972,0,0.072,0.381004890521193,0.316104902636429,-1.30467859917776,0.952,NA,NA,NA,NA,NA
7,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.949,0,0.0489999999999999,0.409038947584612,0.361487669367749,-1.02178238054795,0.934,NA,NA,NA,NA,NA
7,"B","C2",600,0.6,"KM de-censoring",NA,0.967,0,0.0669999999999999,0.400147228665215,0.334606836492315,-1.17684781254671,0.948,NA,NA,NA,NA,NA
7,"B","C2",600,0.6,"Oracle",NA,0.904,0,0.004,1.28036064355045,0.597857508537946,-0.4232427306456,0.902,NA,NA,NA,NA,NA
8,"B","C2",600,0.6,"H-IPCW",0.07,0.9415,0,0.0415,0.447885031180718,0.397665854439483,-0.921050722915022,0.912,11.7571294492359,13.8626016478589,56.9004633029331,1.79759723662064,NA
8,"B","C2",600,0.6,"Clip-IPCW",0.07,0.9415,0,0.0415,0.447885031180718,0.397665854439483,-0.921050722915022,0.912,3.39753130332298,4.65970165847246,81.589449393436,1.39630959055008,0.10752688172043
8,"B","C2",600,0.6,"H-AIPCW",0.08,0.9245,0,0.0245,0.481849983969358,0.427822481768788,-0.847954466538605,0.892,11.7571294492359,13.8626016478589,56.9004633029331,1.79759723662064,NA
8,"B","C2",600,0.6,"Clip-AIPCW",0.07,0.9415,0,0.0415,0.447885031180718,0.397665854439483,-0.921050722915022,0.912,3.39753130332298,4.65970165847246,81.589449393436,1.39630959055008,0.10752688172043
8,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9715,0,0.0715,0.356762705645099,0.319102171370038,-2.10030371995496,0.948,NA,NA,NA,NA,NA
8,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.93,0,0.03,0.48203135150926,0.422308800403752,-0.867981841548412,0.910714285714286,NA,NA,NA,NA,NA
8,"B","C2",600,0.6,"KM de-censoring",NA,0.95,0,0.0499999999999999,0.456505159653119,0.372702332834205,-1.31618789990655,0.898,NA,NA,NA,NA,NA
8,"B","C2",600,0.6,"Oracle",NA,0.909,0,0.00900000000000001,1.70805473320743,0.565833323967369,-0.458614172353863,0.9,NA,NA,NA,NA,NA
9,"B","C2",600,0.6,"H-IPCW",0.05,0.966,0,0.0659999999999999,0.380020861646393,0.320112830654298,-1.13543156190251,0.94949494949495,18.9584150988696,22.1135160595002,44.1613918457238,2.11025263377589,NA
9,"B","C2",600,0.6,"Clip-IPCW",0.04,0.973,0,0.073,0.337831965138752,0.28457476302103,-1.25310908487972,0.96,3.70403543377792,5.2754048277721,75.7485901077319,1.47561800781545,0.101123595505618
9,"B","C2",600,0.6,"H-AIPCW",0.06,0.9565,0,0.0565,0.418588807070437,0.35260076862887,-1.03876864149326,0.935353535353535,18.9584150988696,22.1135160595002,44.1613918457238,2.11025263377589,NA
