"rep","setting","mech","n","cens","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
97,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9425,0,0.0425,0.423201342884516,0.396679912892499,-0.958537310049169,0.928,NA,NA,NA,NA,NA
97,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.92,0,0.02,0.473194946505486,0.438733676148376,-0.831789263358066,0.886,NA,NA,NA,NA,NA
97,"B","C2",600,0.6,"KM de-censoring",NA,0.945,0,0.0449999999999999,0.429001835237879,0.384343332877843,-0.974924166087435,0.938,NA,NA,NA,NA,NA
97,"B","C2",600,0.6,"Oracle",NA,0.904,0,0.004,1.42030390878452,0.582672893295707,-0.444784020187922,0.886,NA,NA,NA,NA,NA
98,"B","C2",600,0.6,"H-IPCW",0.11,0.9315,0,0.0315,0.468026891528148,0.419889765591198,-0.867372229238978,0.898,16.5082825243693,16.7588568052271,49.725366909622,1.96023490760669,NA
98,"B","C2",600,0.6,"Clip-IPCW",0.11,0.9315,0,0.0315,0.468026891528148,0.419889765591198,-0.867372229238978,0.898,5.08514040376353,5.91154206075154,69.5814698729165,1.56826076948137,0.108695652173913
98,"B","C2",600,0.6,"H-AIPCW",0.12,0.922,0,0.022,0.49299548452333,0.442290308913949,-0.815397969217204,0.882,16.5082825243693,16.7588568052271,49.725366909622,1.96023490760669,NA
98,"B","C2",600,0.6,"Clip-AIPCW",0.11,0.9315,0,0.0315,0.468026891528148,0.419889765591198,-0.867372229238978,0.898,5.08514040376353,5.91154206075154,69.5814698729165,1.56826076948137,0.108695652173913
98,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.958,0,0.0579999999999999,0.416372962769878,0.377485603443325,-1.06937899039446,0.951195219123506,NA,NA,NA,NA,NA
98,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9275,0,0.0275,0.478575869874197,0.442460749427546,-0.842404922901768,0.898,NA,NA,NA,NA,NA
98,"B","C2",600,0.6,"KM de-censoring",NA,0.9735,0,0.0735,0.373691176974781,0.310466023900674,-1.51700826222019,0.956,NA,NA,NA,NA,NA
98,"B","C2",600,0.6,"Oracle",NA,0.911,0,0.011,2.27930658426596,0.591503781737118,-0.409664537226397,0.902,NA,NA,NA,NA,NA
99,"B","C2",600,0.6,"H-IPCW",0.09,0.9375,0,0.0375,0.484435264963359,0.399445238238032,-0.914304643507162,0.918,10.1319558514098,10.5580059430909,64.7348822643889,1.64886550933394,NA
99,"B","C2",600,0.6,"Clip-IPCW",0.09,0.9375,0,0.0375,0.484435264963359,0.399445238238032,-0.914304643507162,0.918,3.75199261011393,4.45954756361994,84.5698749717852,1.35852121324135,0.101010101010101
99,"B","C2",600,0.6,"H-AIPCW",0.1,0.9245,0,0.0245,0.514221374946833,0.424005629809511,-0.854634590571718,0.896,10.1319558514098,10.5580059430909,64.7348822643889,1.64886550933394,NA
99,"B","C2",600,0.6,"Clip-AIPCW",0.09,0.9375,0,0.0375,0.484435264963359,0.399445238238032,-0.914304643507162,0.918,3.75199261011393,4.45954756361994,84.5698749717852,1.35852121324135,0.101010101010101
99,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9685,0,0.0685,0.400630079896981,0.329107477378257,-1.68725741810051,0.934,NA,NA,NA,NA,NA
99,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.931,0,0.031,0.505474588594579,0.431942844856858,-0.859373241485398,0.906,NA,NA,NA,NA,NA
99,"B","C2",600,0.6,"KM de-censoring",NA,0.9775,0,0.0775,0.361026418181072,0.242900541406367,-3.64830514950411,0.936,NA,NA,NA,NA,NA
99,"B","C2",600,0.6,"Oracle",NA,0.912,0,0.012,3.40479771481933,0.59796372646157,-0.424484156227056,0.894,NA,NA,NA,NA,NA
100,"B","C2",600,0.6,"H-IPCW",0.14,0.8875,0.0125000000000001,0.0125000000000001,0.521209605882903,0.477597599737918,-0.749125220807632,0.832,13.9859019700839,14.2742787867847,54.5273795575258,1.8481586989259,NA
100,"B","C2",600,0.6,"Clip-IPCW",0.13,0.9025,0,0.00249999999999995,0.497068908791166,0.455476865858727,-0.796548830243829,0.844,4.8439930793726,5.6137711339386,71.985646673626,1.5309355484705,0.10752688172043
100,"B","C2",600,0.6,"H-AIPCW",0.11,0.9295,0,0.0295,0.447096273972652,0.409685671351725,-0.902503546770779,0.89,13.9859019700839,14.2742787867847,54.5273795575258,1.8481586989259,NA
100,"B","C2",600,0.6,"Clip-AIPCW",0.13,0.9025,0,0.00249999999999995,0.497068908791166,0.455476865858727,-0.796548830243829,0.844,4.8439930793726,5.6137711339386,71.985646673626,1.5309355484705,0.10752688172043
100,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9615,0,0.0615,0.412484371214951,0.373537283450704,-1.04977320524167,0.945641025641026,NA,NA,NA,NA,NA
100,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9195,0,0.0195,0.485246838338813,0.443816715499737,-0.836973617936873,0.896,NA,NA,NA,NA,NA
100,"B","C2",600,0.6,"KM de-censoring",NA,0.966,0,0.0659999999999999,0.394678625733116,0.338664970799431,-1.17983879581871,0.946,NA,NA,NA,NA,NA
100,"B","C2",600,0.6,"Oracle",NA,0.8975,0.00250000000000006,0.00250000000000006,1.59716587831497,0.577765691181,-0.470611323485054,0.886,NA,NA,NA,NA,NA
1,"C","C2",600,0.6,"H-IPCW",0.15,0.8305,0.0695,0.0695,0.882961641748128,0.641050331516764,-0.421764960411892,0.758,101.450527472733,75.7693077683354,8.97501494402382,5.08415234535722,NA
1,"C","C2",600,0.6,"Clip-IPCW",0.13,0.8605,0.0395,0.0395,0.80469645192206,0.584228014994735,-0.514581591294472,0.79,4.68653066785579,6.14270906262514,65.7331370089181,1.63163081087688,0.107142857142857
1,"C","C2",600,0.6,"H-AIPCW",0.14,0.8435,0.0565,0.0565,0.844203946378885,0.612911358892667,-0.466652611209334,0.768,101.450527472733,75.7693077683354,8.97501494402382,5.08415234535722,NA
1,"C","C2",600,0.6,"Clip-AIPCW",0.13,0.8605,0.0395,0.0395,0.80469645192206,0.584228014994735,-0.514581591294472,0.79,4.68653066785579,6.14270906262514,65.7331370089181,1.63163081087688,0.107142857142857
1,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9695,0,0.0695,0.40268385403278,0.324418888121582,-2.84927862636256,0.928,NA,NA,NA,NA,NA
1,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.8885,0.0115000000000001,0.0115000000000001,0.653355364159497,0.529162950095994,-0.651797012001524,0.854,NA,NA,NA,NA,NA
1,"C","C2",600,0.6,"KM de-censoring",NA,0.946,0,0.0459999999999999,0.55867592459562,0.348482435421232,-2.30255278211619,0.846,NA,NA,NA,NA,NA
1,"C","C2",600,0.6,"Oracle",NA,0.887,0.013,0.013,0.661618965938613,0.562985020870143,-0.643280249274718,0.868,NA,NA,NA,NA,NA
2,"C","C2",600,0.6,"H-IPCW",0.09,0.9405,0,0.0405,0.516919668458523,0.421690086893527,-0.854864132956054,0.918,7.83422565209185,10.7051454194351,67.6988987882951,1.59867393697283,NA
2,"C","C2",600,0.6,"Clip-IPCW",0.05,0.976,0,0.076,0.361344385012172,0.294775676786804,-1.21292013654335,0.958,2.99673794646768,4.42916238251243,80.7684320957676,1.40702051593451,0.0989010989010989
2,"C","C2",600,0.6,"H-AIPCW",0.01,0.997,0,0.097,0.138596802389251,0.113063791549997,-2.1711825995291,0.994753410283316,7.83422565209185,10.7051454194351,67.6988987882951,1.59867393697283,NA
2,"C","C2",600,0.6,"Clip-AIPCW",0.09,0.9405,0,0.0405,0.516919668458523,0.421690086893527,-0.854864132956054,0.918,2.99673794646768,4.42916238251243,80.7684320957676,1.40702051593451,0.0989010989010989
2,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9745,0,0.0745,0.417777287207927,0.319335842140302,-2.9068508521526,0.944,NA,NA,NA,NA,NA
2,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.912,0,0.012,0.616377344257293,0.51014908839906,-0.68647577273826,0.896,NA,NA,NA,NA,NA
2,"C","C2",600,0.6,"KM de-censoring",NA,0.9725,0,0.0725,0.458506773451541,0.296866504078367,-3.40016106152171,0.926,NA,NA,NA,NA,NA
2,"C","C2",600,0.6,"Oracle",NA,0.9065,0,0.00649999999999995,0.657682690599314,0.55578826605262,-0.659972391768633,0.894,NA,NA,NA,NA,NA
3,"C","C2",600,0.6,"H-IPCW",0.13,0.8985,0.00150000000000006,0.00150000000000006,0.667488077439623,0.536395227335367,-0.620202421905606,0.884,12.8708691928358,14.3608631221549,60.8050944675686,1.72028148804601,NA
3,"C","C2",600,0.6,"Clip-IPCW",0.13,0.8985,0.00150000000000006,0.00150000000000006,0.667488077439623,0.536395227335367,-0.620202421905606,0.884,3.50002869274789,4.37249225396619,86.1537240902965,1.33910039091513,0.101010101010101
3,"C","C2",600,0.6,"H-AIPCW",0.13,0.8985,0.00150000000000006,0.00150000000000006,0.667488077439623,0.536395227335367,-0.620202421905606,0.884,12.8708691928358,14.3608631221549,60.8050944675686,1.72028148804601,NA
3,"C","C2",600,0.6,"Clip-AIPCW",0.13,0.8985,0.00150000000000006,0.00150000000000006,0.667488077439623,0.536395227335367,-0.620202421905606,0.884,3.50002869274789,4.37249225396619,86.1537240902965,1.33910039091513,0.101010101010101
3,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.927,0,0.027,0.566229840628284,0.463213535828363,-0.795925122167358,0.904,NA,NA,NA,NA,NA
3,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9195,0,0.0195,0.6214447818655,0.491297143022318,-0.702589107936759,0.898,NA,NA,NA,NA,NA
3,"C","C2",600,0.6,"KM de-censoring",NA,0.9605,0,0.0605,0.480874472757731,0.341373269722993,-1.831490620848,0.924,NA,NA,NA,NA,NA
3,"C","C2",600,0.6,"Oracle",NA,0.899,0.001,0.001,0.673833925166676,0.568564860425873,-0.613830451748045,0.894,NA,NA,NA,NA,NA
4,"C","C2",600,0.6,"H-IPCW",0.06,0.964,0,0.0639999999999999,0.431352636304911,0.328554127759184,-1.10209773973354,0.956,13.2054000341835,21.3010340283778,48.4646004787786,1.99213551450183,NA
4,"C","C2",600,0.6,"Clip-IPCW",0.05,0.9755,0,0.0755,0.385975967494718,0.293991473942431,-1.21324856984084,0.966933867735471,2.15576419447647,4.04793142883004,79.9948778177627,1.41723713566613,0.105882352941176
4,"C","C2",600,0.6,"H-AIPCW",0.13,0.8945,0.00550000000000006,0.00550000000000006,0.697615932338522,0.53136245120425,-0.621354965869051,0.877755511022044,13.2054000341835,21.3010340283778,48.4646004787786,1.99213551450183,NA
4,"C","C2",600,0.6,"Clip-AIPCW",0.07,0.9555,0,0.0555,0.474096141830535,0.361111144903306,-1.00761354499725,0.946,2.15576419447647,4.04793142883004,79.9948778177627,1.41723713566613,0.105882352941176
4,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.983,0,0.083,0.359671456029358,0.247011529029064,-4.21312078736583,0.964,NA,NA,NA,NA,NA
4,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9325,0,0.0325,0.581219991096006,0.44447067752214,-0.799083840774101,0.919563058589871,NA,NA,NA,NA,NA
4,"C","C2",600,0.6,"KM de-censoring",NA,0.9745,0,0.0745,0.429545989625986,0.241008876986266,-4.30990474508532,0.93,NA,NA,NA,NA,NA
4,"C","C2",600,0.6,"Oracle",NA,0.9035,0,0.00349999999999995,0.676442589836609,0.559078073429583,-0.64033493343204,0.878,NA,NA,NA,NA,NA
5,"C","C2",600,0.6,"H-IPCW",0.08,0.939,0,0.0389999999999999,0.560550981237289,0.409674526094252,-0.902782198559944,0.91,7.72598042624357,9.57175310479213,71.3134841135724,1.54120719213831,NA
5,"C","C2",600,0.6,"Clip-IPCW",0.08,0.939,0,0.0389999999999999,0.560550981237289,0.409674526094252,-0.902782198559944,0.91,3.45379289983613,4.60956902596732,81.9855966168534,1.39118929614678,0.106382978723404
5,"C","C2",600,0.6,"H-AIPCW",0.08,0.939,0,0.0389999999999999,0.560550981237289,0.409674526094252,-0.902782198559944,0.91,7.72598042624357,9.57175310479213,71.3134841135724,1.54120719213831,NA
5,"C","C2",600,0.6,"Clip-AIPCW",0.08,0.939,0,0.0389999999999999,0.560550981237289,0.409674526094252,-0.902782198559944,0.91,3.45379289983613,4.60956902596732,81.9855966168534,1.39118929614678,0.106382978723404
5,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9685,0,0.0685,0.420234461886251,0.321027558640693,-3.0395976967906,0.94,NA,NA,NA,NA,NA
5,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9145,0,0.0145,0.611209979742052,0.486650273296978,-0.763236108053169,0.896,NA,NA,NA,NA,NA
5,"C","C2",600,0.6,"KM de-censoring",NA,0.951,0,0.0509999999999999,0.550100213776158,0.351326603651981,-2.27582011901002,0.894,NA,NA,NA,NA,NA
5,"C","C2",600,0.6,"Oracle",NA,0.898,0.002,0.002,0.655455183367428,0.553867590710088,-0.664986157294205,0.888,NA,NA,NA,NA,NA
6,"C","C2",600,0.6,"H-IPCW",0.1,0.899,0.001,0.001,0.648024392120202,0.509479691217608,-0.676181095768634,0.88,11.3628068641263,12.4963129471224,75.5546419511208,1.47838280909595,NA
6,"C","C2",600,0.6,"Clip-IPCW",0.08,0.9225,0,0.0225,0.574245686155337,0.451474540808946,-0.797052104169258,0.906,2.99470952724135,3.64604094958893,95.5123046440353,1.23251564335581,0.10377358490566
6,"C","C2",600,0.6,"H-AIPCW",0.01,0.996,0,0.096,0.192473583796878,0.151323597125014,-1.89015051629112,0.993858751279427,11.3628068641263,12.4963129471224,75.5546419511208,1.47838280909595,NA
6,"C","C2",600,0.6,"Clip-AIPCW",0.07,0.934,0,0.034,0.534490832674306,0.420219096226607,-0.868794854472638,0.914,2.99470952724135,3.64604094958893,95.5123046440353,1.23251564335581,0.10377358490566
6,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.951,0,0.0509999999999999,0.520858100942126,0.413121959189114,-1.43429652639568,0.92,NA,NA,NA,NA,NA
6,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9115,0,0.0115,0.598031656558469,0.490114378952405,-0.734126532709499,0.894945490584737,NA,NA,NA,NA,NA
6,"C","C2",600,0.6,"KM de-censoring",NA,0.96,0,0.0599999999999999,0.518264414415584,0.362742563594517,-2.17345940163413,0.912,NA,NA,NA,NA,NA
6,"C","C2",600,0.6,"Oracle",NA,0.9,0,0,0.644805630172347,0.547888933306586,-0.686360126649879,0.89,NA,NA,NA,NA,NA
7,"C","C2",600,0.6,"H-IPCW",0.08,0.918,0,0.018,0.66952063480676,0.503194370324803,-0.691709597788089,0.872,93.3143441581683,69.3995032749836,10.8852010195519,4.597428826334,NA
7,"C","C2",600,0.6,"Clip-IPCW",0.06,0.94,0,0.0399999999999999,0.566153089082036,0.42550599990141,-0.859407066623047,0.902,3.05086168326405,3.64521527689873,100.059426477099,1.1850849708883,0.0990990990990991
7,"C","C2",600,0.6,"H-AIPCW",0.07,0.93,0,0.03,0.619241693639075,0.465406020233437,-0.76977592896724,0.886,93.3143441581683,69.3995032749836,10.8852010195519,4.597428826334,NA
7,"C","C2",600,0.6,"Clip-AIPCW",0.06,0.94,0,0.0399999999999999,0.566153089082036,0.42550599990141,-0.859407066623047,0.902,3.05086168326405,3.64521527689873,100.059426477099,1.1850849708883,0.0990990990990991
7,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.952,0,0.0519999999999999,0.570699024464772,0.387380367638932,-2.4431368649687,0.872,NA,NA,NA,NA,NA
7,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9325,0,0.0325,0.58630664976439,0.461565041178034,-0.792213122988511,0.9,NA,NA,NA,NA,NA
7,"C","C2",600,0.6,"KM de-censoring",NA,0.956,0,0.0559999999999999,0.532512540682263,0.309473291638765,-3.89780411207926,0.87,NA,NA,NA,NA,NA
7,"C","C2",600,0.6,"Oracle",NA,0.904,0,0.004,0.682532545219186,0.579694214444203,-0.626988714663872,0.902,NA,NA,NA,NA,NA
8,"C","C2",600,0.6,"H-IPCW",0.09,0.8925,0.00750000000000006,0.00750000000000006,0.719933824013027,0.523980869814124,-0.66394544146898,0.834,35.253920710996,32.1177292164173,26.9235957909109,2.81908271726094,NA
8,"C","C2",600,0.6,"Clip-IPCW",0.07,0.9215,0,0.0215,0.616346034812504,0.448587801622304,-0.819296187522527,0.878,4.19014071641928,5.48039855872698,74.5208974931386,1.49327299237316,0.10752688172043
8,"C","C2",600,0.6,"H-AIPCW",0.08,0.906,0,0.00600000000000001,0.669236766758087,0.487082633793783,-0.736966829198569,0.858,35.253920710996,32.1177292164173,26.9235957909109,2.81908271726094,NA
8,"C","C2",600,0.6,"Clip-AIPCW",0.07,0.9215,0,0.0215,0.616346034812504,0.448587801622304,-0.819296187522527,0.878,4.19014071641928,5.48039855872698,74.5208974931386,1.49327299237316,0.10752688172043
8,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9815,0,0.0815,0.333397019540457,0.24910955021109,-5.69506811629833,0.958,NA,NA,NA,NA,NA
8,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9035,0,0.00349999999999995,0.640518506241506,0.52932964817448,-0.689404946006507,0.872,NA,NA,NA,NA,NA
8,"C","C2",600,0.6,"KM de-censoring",NA,0.939,0,0.0389999999999999,0.616062581569549,0.418271743910216,-2.10825004950318,0.856,NA,NA,NA,NA,NA
8,"C","C2",600,0.6,"Oracle",NA,0.909,0,0.00900000000000001,0.649038957851097,0.558708669569612,-0.67506780891696,0.898,NA,NA,NA,NA,NA
9,"C","C2",600,0.6,"H-IPCW",0.08,0.937,0,0.037,0.495673638352172,0.42040694791229,-0.863196196217388,0.9,7.3442378235148,9.30807824273756,67.3255808406641,1.60483585169214,NA
9,"C","C2",600,0.6,"Clip-IPCW",0.07,0.945,0,0.0449999999999999,0.455255175619666,0.386125918537461,-0.948255831895726,0.91,3.34349662571004,4.61304613028855,78.5995917365734,1.43598148309594,0.1
9,"C","C2",600,0.6,"H-AIPCW",0.03,0.982,0,0.082,0.267488943576413,0.226871476851357,-1.4800356861233,0.968,7.3442378235148,9.30807824273756,67.3255808406641,1.60483585169214,NA
9,"C","C2",600,0.6,"Clip-AIPCW",0.08,0.937,0,0.037,0.495673638352172,0.42040694791229,-0.863196196217388,0.9,3.34349662571004,4.61304613028855,78.5995917365734,1.43598148309594,0.1
9,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9825,0,0.0825,0.338406113480752,0.262191918404632,-3.76759000287726,0.96,NA,NA,NA,NA,NA
9,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9285,0,0.0285,0.524302884100715,0.457467118512166,-0.805814066869681,0.89,NA,NA,NA,NA,NA
9,"C","C2",600,0.6,"KM de-censoring",NA,0.962,0,0.0619999999999999,0.491291175012479,0.381227823494016,-1.35553895097552,0.934,NA,NA,NA,NA,NA
9,"C","C2",600,0.6,"Oracle",NA,0.898,0.002,0.002,0.672647227422444,0.573912931493199,-0.636700686522904,0.884,NA,NA,NA,NA,NA
10,"C","C2",600,0.6,"H-IPCW",0.15,0.875,0.025,0.025,0.694980760836863,0.578640383948204,-0.554048818006693,0.808,14.2788039039474,14.936303053937,62.8849760563712,1.68174800638469,NA
10,"C","C2",600,0.6,"Clip-IPCW",0.14,0.885,0.015,0.015,0.664311222892138,0.553104953024218,-0.5991822320977,0.824,3.82796731425654,4.45381375909952,82.9313313166023,1.37908848763588,0.101010101010101
10,"C","C2",600,0.6,"H-AIPCW",0.15,0.875,0.025,0.025,0.694980760836863,0.578640383948204,-0.554048818006693,0.808,14.2788039039474,14.936303053937,62.8849760563712,1.68174800638469,NA
10,"C","C2",600,0.6,"Clip-AIPCW",0.14,0.885,0.015,0.015,0.664311222892138,0.553104953024218,-0.5991822320977,0.824,3.82796731425654,4.45381375909952,82.9313313166023,1.37908848763588,0.101010101010101
10,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.937,0,0.037,0.523805467447503,0.444360322989696,-0.827936101752111,0.91,NA,NA,NA,NA,NA
10,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9315,0,0.0315,0.544321512615127,0.449729423867207,-0.803235534973101,0.902,NA,NA,NA,NA,NA
10,"C","C2",600,0.6,"KM de-censoring",NA,0.9455,0,0.0455,0.519701850273972,0.415332799267594,-0.899143199451237,0.931201550387597,NA,NA,NA,NA,NA
10,"C","C2",600,0.6,"Oracle",NA,0.9,0,0,0.669220160438712,0.569412158623833,-0.635817974431712,0.888,NA,NA,NA,NA,NA
11,"C","C2",600,0.6,"H-IPCW",0.09,0.938,0,0.0379999999999999,0.532865409485934,0.431931699499493,-0.858704812664694,0.924329501915709,20.5297375146525,22.7168688163855,44.1520357364207,2.11052662316528,NA
11,"C","C2",600,0.6,"Clip-IPCW",0.07,0.957,0,0.0569999999999999,0.452706279265537,0.366956062631078,-1.02173016486254,0.944,3.53928493949795,4.76536577125123,81.9076202674831,1.39219472763329,0.103092783505155
11,"C","C2",600,0.6,"H-AIPCW",0.01,0.999,0,0.099,0.132326282239001,0.107261449060994,-2.25170298213669,0.996,20.5297375146525,22.7168688163855,44.1520357364207,2.11052662316528,NA
11,"C","C2",600,0.6,"Clip-AIPCW",0.06,0.962,0,0.0619999999999999,0.409955285070974,0.332302828908205,-1.12092559695919,0.954022988505747,3.53928493949795,4.76536577125123,81.9076202674831,1.39219472763329,0.103092783505155
11,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.963,0,0.0629999999999999,0.487903584848279,0.374267808152986,-2.22520632370527,0.928,NA,NA,NA,NA,NA
11,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.94,0,0.0399999999999999,0.536247973450269,0.440250223206326,-0.855978899606217,0.924,NA,NA,NA,NA,NA
11,"C","C2",600,0.6,"KM de-censoring",NA,0.9805,0,0.0805,0.33381458722205,0.0839876666013928,-8.42235145556456,0.934,NA,NA,NA,NA,NA
11,"C","C2",600,0.6,"Oracle",NA,0.901,0,0.001,0.667223313137137,0.5735134024493,-0.640738851254979,0.88,NA,NA,NA,NA,NA
12,"C","C2",600,0.6,"H-IPCW",0.14,0.872,0.028,0.028,0.694481049271397,0.547025411547998,-0.578200641248303,0.84,29.8291571991792,27.9871500464911,38.61715312101,2.28837809175081,NA
12,"C","C2",600,0.6,"Clip-IPCW",0.12,0.8995,0.000500000000000056,0.000500000000000056,0.627328222811542,0.494130804028682,-0.679895631181694,0.864,4.24405277070808,4.93359324748133,82.4181633124677,1.38563320901904,0.1
12,"C","C2",600,0.6,"H-AIPCW",0.13,0.888,0.012,0.012,0.661245793823401,0.520846829269308,-0.627239893999488,0.856,29.8291571991792,27.9871500464911,38.61715312101,2.28837809175081,NA
12,"C","C2",600,0.6,"Clip-AIPCW",0.1,0.9255,0,0.0255,0.55700878136985,0.438741932820716,-0.798784510925664,0.888,4.24405277070808,4.93359324748133,82.4181633124677,1.38563320901904,0.1
12,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.943,0,0.0429999999999999,0.497439417206631,0.402744215637201,-0.953742408380398,0.936,NA,NA,NA,NA,NA
12,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9135,0,0.0135,0.572825905686418,0.465430581119615,-0.748701143952559,0.876,NA,NA,NA,NA,NA
12,"C","C2",600,0.6,"KM de-censoring",NA,0.973,0,0.073,0.4448576566921,0.316007470023965,-1.80586928289483,0.95,NA,NA,NA,NA,NA
12,"C","C2",600,0.6,"Oracle",NA,0.899,0.001,0.001,0.658595445597426,0.540516993094338,-0.675949918214153,0.878,NA,NA,NA,NA,NA
13,"C","C2",600,0.6,"H-IPCW",0.2,0.828,0.0720000000000001,0.0720000000000001,0.793328092006049,0.68942263601462,-0.381027893709556,0.738,304.077574237896,147.813396967255,2.62335505733448,9.53228737970454,NA
13,"C","C2",600,0.6,"Clip-IPCW",0.09,0.937,0,0.037,0.483975760932261,0.420587457107919,-0.875229940225995,0.882,2.82532024842316,3.77167610975108,89.6776622196577,1.29740716453832,0.102040816326531
13,"C","C2",600,0.6,"H-AIPCW",0.49,0.523,0.377,0.377,1.49519004960082,1.29935883492043,0.252743836254017,0.418,304.077574237896,147.813396967255,2.62335505733448,9.53228737970454,NA
13,"C","C2",600,0.6,"Clip-AIPCW",0.09,0.937,0,0.037,0.483975760932261,0.420587457107919,-0.875229940225995,0.882,2.82532024842316,3.77167610975108,89.6776622196577,1.29740716453832,0.102040816326531
13,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.961,0,0.0609999999999999,0.469857207358285,0.400805833185754,-1.03696672587512,0.951466127401416,NA,NA,NA,NA,NA
13,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.929,0,0.029,0.534053219180742,0.45409813660474,-0.806967984810969,0.89,NA,NA,NA,NA,NA
13,"C","C2",600,0.6,"KM de-censoring",NA,0.9705,0,0.0705,0.457495647249543,0.361830164431747,-1.33260779458479,0.948,NA,NA,NA,NA,NA
13,"C","C2",600,0.6,"Oracle",NA,0.9005,0,0.000499999999999945,0.660975593894294,0.573389016451683,-0.656403628384825,0.892,NA,NA,NA,NA,NA
14,"C","C2",600,0.6,"H-IPCW",0.09,0.9295,0,0.0295,0.573964588524625,0.45012409605389,-0.801409442377499,0.904,33.4732420574242,34.954545963865,30.0900533424477,2.64674255844709,NA
14,"C","C2",600,0.6,"Clip-IPCW",0.08,0.9395,0,0.0395,0.533377521763811,0.418294228667556,-0.874747674893435,0.918,3.43078149623195,4.64615745527397,80.8914407266183,1.40540714368092,0.108695652173913
14,"C","C2",600,0.6,"H-AIPCW",0.09,0.9295,0,0.0295,0.573964588524625,0.45012409605389,-0.801409442377499,0.904,33.4732420574242,34.954545963865,30.0900533424477,2.64674255844709,NA
14,"C","C2",600,0.6,"Clip-AIPCW",0.09,0.9295,0,0.0295,0.573964588524625,0.45012409605389,-0.801409442377499,0.904,3.43078149623195,4.64615745527397,80.8914407266183,1.40540714368092,0.108695652173913
14,"C","C2",600,0.6,"DR-COSARC (fixed)",NA,0.978,0,0.078,0.354387896882044,0.24318318330622,-4.78040724591952,0.936,NA,NA,NA,NA,NA
14,"C","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.916,0,0.016,0.600588013233954,0.500519967391162,-0.724847237903017,0.894,NA,NA,NA,NA,NA
14,"C","C2",600,0.6,"KM de-censoring",NA,0.9725,0,0.0725,0.4176882339288,0.246135744761046,-4.68216268411382,0.914,NA,NA,NA,NA,NA
14,"C","C2",600,0.6,"Oracle",NA,0.8985,0.00150000000000006,0.00150000000000006,0.674371922149042,0.573945344857689,-0.630225579843463,0.882,NA,NA,NA,NA,NA
15,"C","C2",600,0.6,"H-IPCW",0.14,0.863,0.037,0.037,0.774377611912227,0.625025808119624,-0.466799479689617,0.838,34.3524956822849,30.6991584663518,23.9844205776506,3.00735427323814,NA
15,"C","C2",600,0.6,"Clip-IPCW",0.1,0.9125,0,0.0125,0.628293502906404,0.507116487291856,-0.67585168639192,0.892,3.77763799178794,4.82066440728279,77.1566682172462,1.45581076784734,0.0989010989010989
15,"C","C2",600,0.6,"H-AIPCW",0.31,0.633,0.267,0.267,1.30860033545191,1.05621465495589,0.0578542937829556,0.594,34.3524956822849,30.6991584663518,23.9844205776506,3.00735427323814,NA
15,"C","C2",600,0.6,"Clip-AIPCW",0.1,0.9125,0,0.0125,0.628293502906404,0.507116487291856,-0.67585168639192,0.892,3.77763799178794,4.82066440728279,77.1566682172462,1.45581076784734,0.0989010989010989
