"rep","n","setting","mech","cens","backend","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
5,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",0.09,0.9405,0,0.0405,0.430087025558648,0.361519571945178,-1.01391538773119,0.922,2.86997106346831,4.17667695527128,86.1693858251821,1.33891053459734,0.106382978723404
5,600,"B","C2",0.6,"weibull_cox","H-AIPCW",0.08,0.956,0,0.0559999999999999,0.39911052369272,0.335481558637562,-1.08866458069372,0.943564356435644,31.4615989232579,31.5263069149434,26.8128424817519,2.82563304902234,NA
5,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",0.1,0.9265,0,0.0265,0.460000496932622,0.386664030447424,-0.94667539119096,0.906930693069307,2.86997106346831,4.17667695527128,86.1693858251821,1.33891053459734,0.106382978723404
6,600,"B","C2",0.6,"weibull_cox","H-IPCW",0.01,0.999,0,0.099,0.15317105544605,0.132099480169942,-2.0113127601996,0.996,102.747097286602,75.6540447363916,9.2074973427792,5.01703022654892,NA
6,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",0.08,0.944,0,0.0439999999999999,0.442771828484148,0.38186019027108,-0.949813489035158,0.928,3.18244175769558,4.03090600111835,90.9711355734496,1.28259652378184,0.105769230769231
6,600,"B","C2",0.6,"weibull_cox","H-AIPCW",0.01,0.999,0,0.099,0.15317105544605,0.132099480169942,-2.0113127601996,0.996,102.747097286602,75.6540447363916,9.2074973427792,5.01703022654892,NA
6,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",0.08,0.944,0,0.0439999999999999,0.442771828484148,0.38186019027108,-0.949813489035158,0.928,3.18244175769558,4.03090600111835,90.9711355734496,1.28259652378184,0.105769230769231
7,600,"B","C2",0.6,"weibull_cox","H-IPCW",0.07,0.9715,0,0.0715,0.346612049443735,0.302132276071714,-1.19554839749193,0.962,9.15320005086344,9.9926662024792,77.6855643259258,1.44848859825439,NA
7,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",0.08,0.9605,0,0.0605,0.377119222482282,0.328724547290912,-1.11119316140472,0.946,3.48358360970674,4.18523376122135,94.0142761466026,1.24871969315046,0.107142857142857
7,600,"B","C2",0.6,"weibull_cox","H-AIPCW",0.08,0.9605,0,0.0605,0.377119222482282,0.328724547290912,-1.11119316140472,0.946,9.15320005086344,9.9926662024792,77.6855643259258,1.44848859825439,NA
