"method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"Clip-AIPCW",8100,0.92926024691358,0.000482160489516702,0.932,0.882,0.896,0.877160493827161,0.954444444444444,0.02,0.00363179012345679,0.0365238271604938,0.357983214604562,0.90242982113813,0.0359074476455228,0.0433944440565031,3.58214516606305,98.5336954081255,0.114929194637628,3.59643215639005,0.664468949911354,NA
"Clip-IPCW",8100,0.930390555555556,0.000483546019193515,0.9335,0.882975,0.8965,0.882222222222222,0.955308641975309,0.02,0.00361654320987655,0.0376236419753086,0.35488673737675,0.903635731897696,0.0357937873001042,0.0435191417274163,3.58214516606305,98.5336954081255,0.114929194637628,3.59643215639005,0.664468949911354,NA
"H-AIPCW",8100,0.899551851851852,0.000963246861939967,0.91,0.77,0.833,0.597407407407407,0.749135802469136,0.02,0.0260522222222222,0.0516562962962963,0.39594689136332,0.868348793848197,0.0762205580314272,0.086692217574597,4191.57558550409,51.7030691617418,NA,NA,NA,NA
"H-IPCW",8100,0.899980864197531,0.000877729937868129,0.915,0.791,0.8455,0.654691358024691,0.796543209876543,0.02,0.0217914197530864,0.0435637037037037,0.398813756464666,0.867437005841481,0.0674218180434073,0.0789956944081316,4191.57558550409,51.7030691617418,NA,NA,NA,NA
"Stab-IPCW",8100,0.946247345679012,0.000651820953537612,0.9545,0.894475,0.9135,0.941111111111111,0.965432098765432,0.02,0.00571870370370371,0.0576847530864197,0.29520905371953,0.924690902114814,0.0501230728732663,0.0586638858183851,441.372832326565,82.7624530928816,NA,NA,NA,NA
