"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"B","C1",600,0.4,"weibull_cox","Clip-AIPCW",100,0.92113,0.00203861237218859,0.921,0.886,0.8924,0.84,0.97,0.02,0.00185000000000001,0.02483,0.404289421298524,0.891049554025213,0.0207132905169701,0.0203861237218859,2.1308289917783,134.404471402012,0.106672801344958,2.1308289917783,0.810422629435838,NA
"C","C1",600,0.4,"weibull_cox","Clip-AIPCW",100,0.917115,0.00247039904967729,0.921,0.874325,0.8795,0.79,0.89,0.02,0.00435,0.025815,0.472046512052955,0.885663945470028,0.0242495444089246,0.0247039904967729,2.08687324793631,133.791164954402,0.110446811854001,2.08687324793631,0.799757218971052,NA
"A","C2",600,0.4,"weibull_cox","Clip-AIPCW",100,0.912015,0.00217213127893534,0.9125,0.8785,0.88695,0.74,0.93,0.02,0.00387500000000001,0.019765,0.261647470221747,0.895129581179143,0.0225280969350532,0.0217213127893534,2.25374945636705,133.941207314639,0.108136885018282,2.25374945636705,0.85219199420392,NA
"B","C2",600,0.4,"weibull_cox","Clip-AIPCW",100,0.92179,0.00215509942586265,0.9255,0.883775,0.8909,0.83,0.95,0.02,0.00228500000000001,0.02636,0.412098947252511,0.883000883422026,0.0209557012323953,0.0215509942586265,2.34590702523997,132.43132547891,0.102563180587189,2.34590702523997,0.867124240141342,NA
"C","C2",600,0.4,"weibull_cox","Clip-AIPCW",100,0.914535,0.0024512546261913,0.91525,0.87295,0.8809,0.77,0.91,0.02,0.00442500000000001,0.023385,0.487340663820002,0.883107408782548,0.0234712375025048,0.024512546261913,2.18267698831706,134.365881289133,0.107260006600603,2.18267698831706,0.856868350414852,NA
"A","C3",600,0.4,"weibull_cox","Clip-AIPCW",100,0.916115,0.00236379312320112,0.91675,0.870425,0.8857,0.76,0.92,0.02,0.00385,0.023815,0.250950896636361,0.900340636448472,0.0242401703497698,0.0236379312320112,2.08233121912847,134.912737468394,0.103564254416316,2.08233121912847,0.787960840586292,NA
"B","C3",600,0.4,"weibull_cox","Clip-AIPCW",100,0.91864,0.00199400718315272,0.918,0.883475,0.89645,0.86,0.97,0.02,0.002145,0.02293,0.414587440269202,0.886496691100643,0.020195759130785,0.0199400718315272,2.13661040376739,133.153888604118,0.104978251166441,2.13661040376739,0.79167291898733,NA
"C","C3",600,0.4,"weibull_cox","Clip-AIPCW",100,0.916015,0.00257182141760279,0.91975,0.86985,0.8759,0.78,0.87,0.02,0.00512000000000001,0.026255,0.471094499524813,0.8832671534149,0.025088932728487,0.0257182141760279,2.10188232065857,133.262108130274,0.10744286965556,2.10188232065857,0.79056642724028,NA
"A","C1",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.92023,0.00159757423437643,0.9225,0.891925,0.89795,0.86,1,0.02,0.00101500000000001,0.02226,0.247682482924138,0.905789875253481,0.0156721460437351,0.0159757423437643,2.14607635081152,269.446602637181,0.101621736086829,2.14607635081152,0.80268772494042,NA
"B","C1",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.91929,0.00163889251840036,0.91925,0.89145,0.90095,0.91,0.98,0.02,0.001105,0.0215,0.417099823034697,0.894122411671348,0.0151020100341215,0.0163889251840036,2.16964109971015,266.999497524333,0.101129129823091,2.16964109971015,0.812003508823916,NA
"C","C1",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.919515,0.00164305171537415,0.9195,0.895425,0.89845,0.87,1,0.02,0.000680000000000005,0.020875,0.475338452482073,0.886341055429198,0.0170513188565423,0.0164305171537415,2.14761558325671,270.280522290666,0.10260955871552,2.14761558325671,0.818049956738992,NA
"A","C2",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.916625,0.00161195619598604,0.91725,0.8885,0.8964,0.86,0.98,0.02,0.00152000000000001,0.019665,0.251693168725997,0.901840032903225,0.0155293791299464,0.0161195619598604,2.26490155993832,268.241221741128,0.102259340389579,2.26490155993832,0.853292691230739,NA
"B","C2",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.92259,0.00148683413922864,0.92125,0.9004,0.9045,0.95,0.99,0.02,0.00041,0.02341,0.415596253141574,0.883977168599072,0.0139131505265974,0.0148683413922864,2.37496899324751,265.122057698331,0.10227775935624,2.37496899324751,0.877179743650059,NA
"C","C2",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.915615,0.00167488662363164,0.917,0.88795,0.8958,0.79,0.98,0.02,0.00167500000000001,0.018965,0.481589837277643,0.88268063631381,0.0169145206878886,0.0167488662363164,2.21118277512298,269.546191375781,0.101778771842185,2.21118277512298,0.865385163334345,NA
"A","C3",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.920865,0.00154250967942218,0.92175,0.8925,0.89995,0.9,0.99,0.02,0.000840000000000004,0.022545,0.247204625802366,0.906523372048745,0.0154641978175854,0.0154250967942218,2.10891163780434,269.834468667336,0.10061374832144,2.10891163780434,0.79059230662099,NA
