"rep","n","setting","mech","cens","backend","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac","clip_level","nu_hat_c","runtime"
1,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.07,0.937,0,0.037,0.334545116881157,0.217422254740892,-1.53300970689211,0.916,2.733858525724,3.55232724452697,63.3340485464712,0.94986002262275,NA,NA,NA,NA
1,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.06,0.944,0,0.0439999999999999,0.302277088168152,0.196451129458207,-1.6344373487236,0.926,1.30495317383248,2.76451124700096,66.5395543100346,0.900105646425751,NA,NA,NA,NA
1,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.07,0.937,0,0.037,0.334545116881157,0.217422254740892,-1.53300970689211,0.916,2.07422840669451,2.75840356248682,65.2628515635053,0.919655566489923,0.072463768115942,2.07422840669451,0.751966983694187,NA
1,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.07,0.937,0,0.037,0.334545116881157,0.217422254740892,-1.53300970689211,0.916,2.733858525724,3.55232724452697,63.3340485464712,0.94986002262275,NA,NA,NA,NA
1,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.07,0.937,0,0.037,0.334545116881157,0.217422254740892,-1.53300970689211,0.916,2.07422840669451,2.75840356248682,65.2628515635053,0.919655566489923,0.072463768115942,2.07422840669451,0.751966983694187,NA
2,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.09,0.906,0,0.00600000000000001,0.421530784301925,0.276935895702627,-1.28203861274429,0.878,4.25201972027173,5.57562530206335,62.3196150363489,0.966092780040329,NA,NA,NA,NA
2,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.09,0.906,0,0.00600000000000001,0.421530784301925,0.276935895702627,-1.28203861274429,0.878,1.63277889182795,3.18184512348267,67.4843413751229,0.885849702731457,NA,NA,NA,NA
2,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.09,0.906,0,0.00600000000000001,0.421530784301925,0.276935895702627,-1.28203861274429,0.878,2.04473489594461,2.77438654590242,67.1113016791064,0.891457720080314,0.0428571428571429,2.04473489594461,0.737004329466832,NA
2,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.1,0.8935,0.00650000000000006,0.00650000000000006,0.450504833692217,0.295971170512557,-1.21556261602924,0.866,4.25201972027173,5.57562530206335,62.3196150363489,0.966092780040329,NA,NA,NA,NA
2,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.09,0.906,0,0.00600000000000001,0.421530784301925,0.276935895702627,-1.28203861274429,0.878,2.04473489594461,2.77438654590242,67.1113016791064,0.891457720080314,0.0428571428571429,2.04473489594461,0.737004329466832,NA
3,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.07,0.897,0.003,0.003,0.418554808148507,0.293141077086176,-1.21826316821977,0.888,49.0512906860084,32.3660341131945,10.2058081722781,3.2936930616103,NA,NA,NA,NA
3,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.05,0.9235,0,0.0235,0.352189888055089,0.246661419516408,-1.3909005280455,0.91,8.90141865324157,12.5574851771255,35.7858930110394,1.54047138889434,NA,NA,NA,NA
3,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.05,0.9235,0,0.0235,0.352189888055089,0.246661419516408,-1.3909005280455,0.91,2.15854373998386,2.59881129511121,65.6936032599196,0.913021689596732,0.126760563380282,2.15854373998386,0.830588871167534,NA
3,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.07,0.897,0.003,0.003,0.418554808148507,0.293141077086176,-1.21826316821977,0.888,49.0512906860084,32.3660341131945,10.2058081722781,3.2936930616103,NA,NA,NA,NA
3,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.04,0.936,0,0.036,0.314369485111239,0.22017333853166,-1.50450201458173,0.928,2.15854373998386,2.59881129511121,65.6936032599196,0.913021689596732,0.126760563380282,2.15854373998386,0.830588871167534,NA
4,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.07,0.9055,0,0.00549999999999995,0.427744386040405,0.262596960651502,-1.32039561286944,0.892,4.49474320553963,5.99059114125422,57.2710575528883,1.05095355561147,NA,NA,NA,NA
4,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.06,0.9185,0,0.0185,0.391370086523971,0.240266380027726,-1.4092677759879,0.907907907907908,1.07402809447696,2.24691390388978,65.2019837980478,0.920596153121099,NA,NA,NA,NA
4,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.07,0.9055,0,0.00549999999999995,0.427744386040405,0.262596960651502,-1.32039561286944,0.892,1.88479160217876,2.65576243843585,64.3589140108939,0.933706941777059,0.0597014925373134,1.88479160217876,0.709698870238122,NA
4,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.09,0.885,0.015,0.015,0.49501352800347,0.303894223226134,-1.17433630966628,0.871871871871872,4.49474320553963,5.99059114125422,57.2710575528883,1.05095355561147,NA,NA,NA,NA
4,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.07,0.9055,0,0.00549999999999995,0.427744386040405,0.262596960651502,-1.32039561286944,0.892,1.88479160217876,2.65576243843585,64.3589140108939,0.933706941777059,0.0597014925373134,1.88479160217876,0.709698870238122,NA
5,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.1,0.9095,0,0.00949999999999995,0.435823068123918,0.305216589248343,-1.20001200837547,0.896,5.46963440072712,5.76265359851128,57.6130121656326,1.04497009061023,NA,NA,NA,NA
5,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.08,0.9275,0,0.0275,0.380660558230256,0.266585056510534,-1.3353403075688,0.916,2.7798683516084,4.23831996998843,67.3832006343839,0.887367539488338,NA,NA,NA,NA
5,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.1,0.9095,0,0.00949999999999995,0.435823068123918,0.305216589248343,-1.20001200837547,0.896,2.09789869797837,2.47807047199223,73.6918275540947,0.796042582016705,0.10126582278481,2.09789869797837,0.846585567960776,NA
5,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.1,0.9095,0,0.00949999999999995,0.435823068123918,0.305216589248343,-1.20001200837547,0.896,5.46963440072712,5.76265359851128,57.6130121656326,1.04497009061023,NA,NA,NA,NA
5,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.1,0.9095,0,0.00949999999999995,0.435823068123918,0.305216589248343,-1.20001200837547,0.896,2.09789869797837,2.47807047199223,73.6918275540947,0.796042582016705,0.10126582278481,2.09789869797837,0.846585567960776,NA
6,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.11,0.8935,0.00650000000000006,0.00650000000000006,0.424113723603438,0.29955856856125,-1.22558892422419,0.877175025588536,15.636437356923,15.8189585223318,31.4222352510046,1.68601317032722,NA,NA,NA,NA
6,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.09,0.9105,0,0.0105,0.375253049355228,0.265047462642835,-1.34798996286147,0.899692937563971,3.81996499577934,6.71443459239603,58.8999013425009,1.02277667327144,NA,NA,NA,NA
6,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.09,0.9105,0,0.0105,0.375253049355228,0.265047462642835,-1.34798996286147,0.899692937563971,1.78745870270443,2.33345397102767,68.1836370712875,0.87540802471387,0.126760563380282,1.78745870270443,0.766014125368508,NA
6,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.1,0.9045,0,0.00449999999999995,0.400091615035094,0.282591354212665,-1.28389700106789,0.89150460593654,15.636437356923,15.8189585223318,31.4222352510046,1.68601317032722,NA,NA,NA,NA
6,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.09,0.9105,0,0.0105,0.375253049355228,0.265047462642835,-1.34798996286147,0.899692937563971,1.78745870270443,2.33345397102767,68.1836370712875,0.87540802471387,0.126760563380282,1.78745870270443,0.766014125368508,NA
7,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.07,0.941,0,0.0409999999999999,0.305164729477399,0.200637889507614,-1.61066332592051,0.928,10.1331705514165,9.72417083260324,47.1727838975697,1.24772317983226,NA,NA,NA,NA
7,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.05,0.955,0,0.0549999999999999,0.248364050121734,0.16329291701346,-1.81661943954781,0.944,4.92785308711585,7.09925241521796,59.7460200425735,1.00845267321051,NA,NA,NA,NA
7,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.06,0.9465,0,0.0465,0.277610763247006,0.182521871835789,-1.7052950529908,0.936,2.12227531578266,2.40477014019651,69.0770246327656,0.862198407586528,0.186666666666667,2.12227531578266,0.882527307000425,NA
7,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.06,0.9465,0,0.0465,0.277610763247006,0.182521871835789,-1.7052950529908,0.936,10.1331705514165,9.72417083260324,47.1727838975697,1.24772317983226,NA,NA,NA,NA
7,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.05,0.955,0,0.0549999999999999,0.248364050121734,0.16329291701346,-1.81661943954781,0.944,2.12227531578266,2.40477014019651,69.0770246327656,0.862198407586528,0.186666666666667,2.12227531578266,0.882527307000425,NA
8,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.16,0.8215,0.0785,0.0785,0.601004923799941,0.399490219953532,-0.933750829941912,0.788,39.2019048484357,32.2945245368962,11.4722179749946,3.0886159580721,NA,NA,NA,NA
8,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.07,0.923,0,0.023,0.349813593858054,0.232522403759221,-1.47495353349174,0.906,4.20357431722983,7.29758505770309,53.9998113933179,1.1101805366883,NA,NA,NA,NA
8,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.07,0.923,0,0.023,0.349813593858054,0.232522403759221,-1.47495353349174,0.906,2.31897291416314,2.96339187913222,62.4459292167362,0.964057859105254,0.0588235294117647,2.31897291416314,0.782540078648734,NA
8,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.2,0.782,0.118,0.118,0.699905569395276,0.465229848861428,-0.781408532042757,0.748,39.2019048484357,32.2945245368962,11.4722179749946,3.0886159580721,NA,NA,NA,NA
8,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.07,0.923,0,0.023,0.349813593858054,0.232522403759221,-1.47495353349174,0.906,2.31897291416314,2.96339187913222,62.4459292167362,0.964057859105254,0.0588235294117647,2.31897291416314,0.782540078648734,NA
9,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.08,0.9355,0,0.0355,0.345320304922697,0.222076324364395,-1.4930293438661,0.922,2.90248986885441,3.44756929618984,67.3400943781247,0.888015037631184,NA,NA,NA,NA
9,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.03,0.975,0,0.075,0.180880692113598,0.116324811140393,-2.13966409591666,0.970731707317073,1.59343115932255,2.73119860187929,71.9519159328057,0.820604696659879,NA,NA,NA,NA
9,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.08,0.9355,0,0.0355,0.345320304922697,0.222076324364395,-1.4930293438661,0.922,2.59963268075584,3.10640065354273,68.026356068258,0.877748552082415,0.0405405405405405,2.59963268075584,0.836863293146381,NA
9,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.08,0.9355,0,0.0355,0.345320304922697,0.222076324364395,-1.4930293438661,0.922,2.90248986885441,3.44756929618984,67.3400943781247,0.888015037631184,NA,NA,NA,NA
9,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.08,0.9355,0,0.0355,0.345320304922697,0.222076324364395,-1.4930293438661,0.922,2.59963268075584,3.10640065354273,68.026356068258,0.877748552082415,0.0405405405405405,2.59963268075584,0.836863293146381,NA
10,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.07,0.9325,0,0.0325,0.299126922932897,0.225613969004813,-1.49193283100711,0.908,8.25243049292817,8.58227054992452,49.4067872239615,1.20034284798152,NA,NA,NA,NA
10,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.06,0.9405,0,0.0405,0.272486686904099,0.205520794753726,-1.58521104822914,0.918,2.37518213055699,3.89734536703214,67.3803971134485,0.887409640283305,NA,NA,NA,NA
10,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.06,0.9405,0,0.0405,0.272486686904099,0.205520794753726,-1.58521104822914,0.918,2.92282332428145,3.33012544664157,64.5547541998962,0.930647431294859,0.0547945205479452,2.92282332428145,0.877691657901089,NA
10,300,"A","C1",0.4,"weibull_cox","H-AIPCW",0.07,0.9325,0,0.0325,0.299126922932897,0.225613969004813,-1.49193283100711,0.908,8.25243049292817,8.58227054992452,49.4067872239615,1.20034284798152,NA,NA,NA,NA
10,300,"A","C1",0.4,"weibull_cox","Clip-AIPCW",0.06,0.9405,0,0.0405,0.272486686904099,0.205520794753726,-1.58521104822914,0.918,2.92282332428145,3.33012544664157,64.5547541998962,0.930647431294859,0.0547945205479452,2.92282332428145,0.877691657901089,NA
11,300,"A","C1",0.4,"weibull_cox","H-IPCW",0.19,0.8255,0.0745,0.0745,0.642622362054327,0.440069510038329,-0.82350880238414,0.812,10.8823114126025,10.5907881068696,41.6787338602266,1.3765745418672,NA,NA,NA,NA
11,300,"A","C1",0.4,"weibull_cox","Stab-IPCW",0.12,0.888,0.012,0.012,0.486509047431032,0.333162695191253,-1.10181054936432,0.876,3.48381985992927,5.5145543775081,64.6429599124041,0.929272222650247,NA,NA,NA,NA
11,300,"A","C1",0.4,"weibull_cox","Clip-IPCW",0.12,0.888,0.012,0.012,0.486509047431032,0.333162695191253,-1.10181054936432,0.876,2.18908710153299,2.607791377043,72.8778549220051,0.807480192255601,0.0769230769230769,2.18908710153299,0.839441038422028,NA
