"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"A","C1",600,0.2,"weibull_cox","CC",100,0.914625,0.0020705166363529,0.9135,0.77,0.00313000000000001,0.020885,0.256754867539913,0.899588943992138,0.0228943555303816,0.020705166363529,1,192.43,NA
"A","C1",1200,0.2,"weibull_cox","CC",100,0.92066,0.00156346998175161,0.921,0.91,0.000840000000000004,0.02234,0.249509207168916,0.906205952985968,0.015871644240881,0.0156346998175161,1,384.74,NA
"A","C1",600,0.4,"weibull_cox","CC",100,0.928445,0.00203812023465474,0.92875,0.89,0.000950000000000003,0.030345,0.230775809101923,0.914117874288813,0.0220401378572748,0.0203812023465474,1,143.94,NA
"A","C1",1200,0.4,"weibull_cox","CC",100,0.935045,0.00146054326062654,0.937,0.99,1.50000000000006e-05,0.035075,0.21926426276868,0.921836111723449,0.0145796315648118,0.0146054326062654,1,289.17,NA
"A","C1",600,0.6,"weibull_cox","CC",100,0.93744,0.00964424589005687,0.9495,0.95,0.009285,0.05601,0.185972967021442,0.925493686781351,0.0204830553276496,0.0964424589005687,1,96.35,NA
"A","C1",1200,0.6,"weibull_cox","CC",100,0.951685,0.00165196019163522,0.955,1,0,0.051685,0.176694643136162,0.93924212035037,0.0149000033896003,0.0165196019163522,1,192,NA
"A","C1",600,0.2,"weibull_cox","Clip-AIPCW",100,0.90902,0.00208925727463038,0.90975,0.67,0.00467,0.01836,0.26654470790029,0.893082133587904,0.0223134239615728,0.0208925727463038,1.49518746272796,188.663747985225,0.101955539088674
"A","C1",1200,0.2,"weibull_cox","Clip-AIPCW",100,0.91278,0.00162881750501597,0.9135,0.77,0.00228500000000001,0.01735,0.262797521729584,0.898018782781399,0.0160919077473585,0.0162881750501597,1.49027714501357,377.478493974791,0.101006672793085
"A","C1",600,0.4,"weibull_cox","Clip-AIPCW",100,0.91503,0.00225978031470032,0.91475,0.78,0.00358000000000001,0.02219,0.256022569447933,0.898777077964891,0.0237688787274368,0.0225978031470032,2.10305959698073,134.385753572708,0.102406361821208
"A","C1",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.92004,0.00158752523244085,0.9225,0.86,0.000900000000000005,0.02184,0.249591631083999,0.905714362725816,0.0156795562707777,0.0158752523244085,2.15247066549788,268.800583158529,0.101113086874001
"A","C1",600,0.6,"weibull_cox","Clip-AIPCW",100,0.9163,0.0096417652099414,0.92875,0.8,0.011825,0.03995,0.229711054230317,0.9013504417277,0.0275701126423363,0.096417652099414,3.12716516919337,82.2739805229122,0.103681017780938
"A","C1",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.93172,0.00181752579073861,0.9335,0.94,0.000630000000000002,0.03298,0.225657076052819,0.916956581192235,0.0171890850967888,0.0181752579073861,3.10500058508671,164.26628147633,0.101675050022542
"A","C1",600,0.2,"weibull_cox","Clip-IPCW",100,0.90739,0.00208442492614324,0.9055,0.61,0.00505000000000001,0.01749,0.271163365262167,0.891388669857753,0.0224607401588828,0.0208442492614324,1.49518746272796,188.663747985225,0.101955539088674
"A","C1",1200,0.2,"weibull_cox","Clip-IPCW",100,0.913595,0.00161616979243513,0.9145,0.77,0.00199000000000001,0.017575,0.261512617861017,0.898545258800016,0.0161742406500602,0.0161616979243513,1.49027714501357,377.478493974791,0.101006672793085
"A","C1",600,0.4,"weibull_cox","Clip-IPCW",100,0.917615,0.0021857071874089,0.91825,0.81,0.00281500000000001,0.023245,0.250870339218795,0.901731456835463,0.0230624974336863,0.021857071874089,2.10305959698073,134.385753572708,0.102406361821208
"A","C1",1200,0.4,"weibull_cox","Clip-IPCW",100,0.92165,0.00166370190851728,0.92475,0.89,0.000760000000000004,0.02317,0.244378677084376,0.90723775264999,0.0167886445509632,0.0166370190851728,2.15247066549788,268.800583158529,0.101113086874001
"A","C1",600,0.6,"weibull_cox","Clip-IPCW",100,0.92042,0.00964016670713812,0.93375,0.86,0.010875,0.04217,0.222454324278713,0.906527757502988,0.0265640069388348,0.0964016670713812,3.12716516919337,82.2739805229122,0.103681017780938
"A","C1",1200,0.6,"weibull_cox","Clip-IPCW",100,0.934325,0.00176790086963282,0.93575,0.95,0.000430000000000002,0.035185,0.215461931543678,0.919422362530297,0.0171446607997765,0.0176790086963282,3.10500058508671,164.26628147633,0.101675050022542
"A","C1",600,0.2,"weibull_cox","H-AIPCW",100,0.906375,0.00300504941218892,0.903,0.54,0.00746000000000001,0.021295,0.277155041569726,0.890060150097983,0.0318257566740963,0.0300504941218892,9.70784657875231,148.511064175254,NA
"A","C1",1200,0.2,"weibull_cox","H-AIPCW",100,0.901415,0.00441593793301976,0.905,0.6,0.00981000000000001,0.021035,0.274940526498639,0.885903900522622,0.0437867882846279,0.0441593793301976,14.0319664950653,285.276517738356,NA
"A","C1",600,0.4,"weibull_cox","H-AIPCW",100,0.89454,0.00361213359261657,0.896,0.44,0.015935,0.02641,0.288701295794091,0.876354931704232,0.0368776300209164,0.0361213359261657,19.3935460026907,80.96585974494,NA
"A","C1",1200,0.4,"weibull_cox","H-AIPCW",100,0.8996,0.00386389006891325,0.90275,0.52,0.01238,0.02436,0.282578809410641,0.883794745897836,0.0405113776261894,0.0386389006891325,35.2820778604386,146.042993413113,NA
"A","C1",600,0.6,"weibull_cox","H-AIPCW",100,0.893995,0.0106798604363257,0.90025,0.51,0.02618,0.046355,0.280638109941597,0.875524570167965,0.0540179543664826,0.106798604363257,90.932914647291,39.564199953014,NA
"A","C1",1200,0.6,"weibull_cox","H-AIPCW",100,0.887075,0.00666165104887442,0.8975,0.48,0.02658,0.040235,0.287021009588197,0.867116249797989,0.063077633744362,0.0666165104887442,179.070659971793,67.374056143812,NA
