"rep","n","setting","mech","cens","backend","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
8,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.01,0.99,0,0.09,0.0797054159058286,0.0558360230414483,-2.89893420854062,0.988,10.1011859636534,10.5572553789318,145.079391162,0.810557942671291,NA
8,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.42370840033037,1.58724151277724,190.431916029014,0.51125535241617,0.103626943005181
9,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.04,0.9565,0,0.0565,0.242395166238707,0.157717485168099,-1.8349047526568,0.94,1,1,240,0,NA
9,600,"A","C1",0.2,"weibull_cox","CC",0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1,1.33333333333333,180,0.578556854140372,NA
9,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.01,0.9925,0,0.0925,0.105512171653256,0.0686528309371833,-2.66664774801138,0.988,2.40300030155548,2.70750352849664,171.716461629981,0.631915071686231,NA
9,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,2.40300030155548,2.70750352849664,171.716461629981,0.631915071686231,NA
9,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.18108696072591,1.66046642514101,178.679250195272,0.587047628547757,NA
9,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.52128878318046,1.76189688589792,176.380337182513,0.601834760130579,0.1
9,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.1,0.896,0.004,0.004,0.425484391063709,0.276846808367304,-1.27224580180468,0.872,2.40300030155548,2.70750352849664,171.716461629981,0.631915071686231,NA
9,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.52128878318046,1.76189688589792,176.380337182513,0.601834760130579,0.1
