"method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"CC",600,0.931316666666667,0.00179917075232742,0.9345,0.918333333333333,0.00237,0.0360566666666666,0.221430911259711,0.917747448353681,0.0232647294191687,0.0440705030334151,1,216.438333333333,NA
"Clip-AIPCW",600,0.917481666666667,0.0017724368958075,0.9195,0.803333333333333,0.00398166666666667,0.025445,0.250015941483066,0.902316563329991,0.02252650080974,0.0434156599601093,2.24552677075003,202.644806781749,0.101972954730075
"Clip-IPCW",600,0.919165833333333,0.00177748920163973,0.9215,0.815,0.00365333333333334,0.0264725,0.246278252915067,0.904142209696084,0.0228970014779962,0.0435394156732437,2.24552677075003,202.644806781749,0.101972954730075
"H-AIPCW",600,0.897166666666667,0.0024462569691201,0.901,0.515,0.0163908333333333,0.0299483333333333,0.282647416084574,0.879792424698105,0.0464541947431835,0.0599208135407155,58.0698352593384,127.955781861415,NA
"H-IPCW",600,0.90053,0.00249094992976327,0.90675,0.618333333333333,0.0133833333333333,0.0272966666666667,0.269853487851,0.883743681286268,0.046482397144468,0.0610155630274161,58.0698352593384,127.955781861415,NA
"HT-IPCW",600,0.913480833333333,0.00461295326959971,0.95775,0.7,0.0348675,0.0832158333333333,0.175516973576943,0.900207280264519,0.103299490032954,0.112993817178226,58.0698352593384,127.955781861415,NA
"Naive-Y",600,0.975693333333333,0.00177956313326591,0.986,0.998333333333333,0.0015,0.0786933333333333,0.0817283593616121,0.968593889869501,0.0175031279500441,0.0435902164156993,1,360,NA
"Stab-IPCW",600,0.934885833333333,0.00197117932716774,0.939,0.925,0.00314333333333334,0.0411725,0.210260164026968,0.921874385784114,0.0288458715794588,0.0482838354308362,7.9454135723884,187.092610769316,NA
