"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"A","C1",600,0.2,"weibull_cox","CC",100,0.914625,0.0020705166363529,0.9135,0.877425,0.889,0.77,0.93,0.02,0.00313000000000001,0.020885,0.256754867539913,0.899588943992138,0.0228943555303816,0.020705166363529,1,192.43,NA,NA,NA,NA
"A","C1",1200,0.2,"weibull_cox","CC",100,0.92066,0.00156346998175161,0.921,0.89245,0.90095,0.91,0.99,0.02,0.000840000000000004,0.02234,0.249509207168916,0.906205952985968,0.015871644240881,0.0156346998175161,1,384.74,NA,NA,NA,NA
"A","C1",600,0.4,"weibull_cox","CC",100,0.928445,0.00203812023465474,0.92875,0.89375,0.8995,0.89,0.99,0.02,0.000950000000000003,0.030345,0.230775809101923,0.914117874288813,0.0220401378572748,0.0203812023465474,1,143.94,NA,NA,NA,NA
"A","C1",1200,0.4,"weibull_cox","CC",100,0.935045,0.00146054326062654,0.937,0.91125,0.9179,0.99,1,0.02,1.50000000000006e-05,0.035075,0.21926426276868,0.921836111723449,0.0145796315648118,0.0146054326062654,1,289.17,NA,NA,NA,NA
"A","C1",600,0.6,"weibull_cox","CC",100,0.93744,0.00964424589005687,0.9495,0.904625,0.92295,0.95,0.99,0.02,0.009285,0.05601,0.185972967021442,0.925493686781351,0.0204830553276496,0.0964424589005687,1,96.35,NA,NA,NA,NA
"A","C1",1200,0.6,"weibull_cox","CC",100,0.951685,0.00165196019163522,0.955,0.91695,0.9264,1,1,0.02,0,0.051685,0.176694643136162,0.93924212035037,0.0149000033896003,0.0165196019163522,1,192,NA,NA,NA,NA
"A","C1",600,0.2,"weibull_cox","Clip-AIPCW",100,0.909195,0.00209936131461283,0.9105,0.871425,0.8789,0.67,0.89,0.02,0.00467,0.018535,0.265624172657063,0.893240873745385,0.0223152346384639,0.0209936131461283,1.48441164980365,188.930480417071,0.106072850631105,1.48441164980365,0.914148524005712,NA
"A","C1",1200,0.2,"weibull_cox","Clip-AIPCW",100,0.912775,0.00162864780934022,0.91375,0.88475,0.8923,0.77,0.96,0.02,0.00233000000000001,0.017435,0.262797521729584,0.897707365458564,0.0159024805891687,0.0162864780934022,1.4920263462108,377.622227046425,0.100182107381243,1.4920263462108,0.913750515939603,NA
"A","C1",600,0.4,"weibull_cox","Clip-AIPCW",100,0.914975,0.00232660691726702,0.91525,0.86995,0.8867,0.77,0.91,0.02,0.00399500000000001,0.022965,0.253634085713709,0.898792657868291,0.0237741902325215,0.0232660691726702,2.12103861752652,134.572986287301,0.100364525681898,2.12103861752652,0.796694482959282,NA
"A","C1",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.92023,0.00159757423437643,0.9225,0.891925,0.89795,0.86,1,0.02,0.00101500000000001,0.02226,0.247682482924138,0.905789875253481,0.0156721460437351,0.0159757423437643,2.14607635081152,269.446602637181,0.101621736086829,2.14607635081152,0.80268772494042,NA
"A","C1",600,0.6,"weibull_cox","Clip-AIPCW",100,0.916455,0.00962298672371777,0.92475,0.885,0.89355,0.82,0.97,0.02,0.011465,0.039385,0.234614348370416,0.901440012610173,0.0263588292378072,0.0962298672371777,3.00157004313083,83.4895662322418,0.109022071356049,3.00157004313083,0.644480915827762,NA
"A","C1",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.93176,0.00183077617805711,0.9315,0.898975,0.90815,0.94,1,0.02,0.000500000000000002,0.03276,0.225657076052819,0.916703786893823,0.0175338057316244,0.0183077617805711,3.0602361454749,165.497465588616,0.102793585998653,3.0602361454749,0.641343271109418,NA
"A","C1",600,0.2,"weibull_cox","Clip-IPCW",100,0.908655,0.00209915441128666,0.90725,0.8715,0.8799,0.62,0.9,0.02,0.00465000000000001,0.017955,0.268612144589437,0.892701272876323,0.0228908256511184,0.0209915441128666,1.48441164980365,188.930480417071,0.106072850631105,1.48441164980365,0.914148524005712,NA
"A","C1",1200,0.2,"weibull_cox","Clip-IPCW",100,0.913745,0.00159803375079717,0.9145,0.886975,0.89295,0.78,0.98,0.02,0.00194500000000001,0.017635,0.261512617861017,0.898729889341888,0.0162356385644655,0.0159803375079717,1.4920263462108,377.622227046425,0.100182107381243,1.4920263462108,0.913750515939603,NA
"A","C1",600,0.4,"weibull_cox","Clip-IPCW",100,0.917815,0.00212247062774884,0.91875,0.8837,0.88895,0.82,0.95,0.02,0.00272,0.023255,0.250481476513469,0.901911475144321,0.0223785160320782,0.0212247062774884,2.12103861752652,134.572986287301,0.100364525681898,2.12103861752652,0.796694482959282,NA
"A","C1",1200,0.4,"weibull_cox","Clip-IPCW",100,0.922355,0.00159111000895792,0.92475,0.89695,0.89995,0.9,1,0.02,0.000565000000000003,0.023485,0.241851271765004,0.908014144087298,0.0159706169592977,0.0159111000895792,2.14607635081152,269.446602637181,0.101621736086829,2.14607635081152,0.80268772494042,NA
"A","C1",600,0.6,"weibull_cox","Clip-IPCW",100,0.92104,0.00962006184486305,0.9325,0.8934,0.898,0.88,0.98,0.02,0.01056,0.04216,0.221896656760276,0.906850322423055,0.0251610971160005,0.0962006184486305,3.00157004313083,83.4895662322418,0.109022071356049,3.00157004313083,0.644480915827762,NA
"A","C1",1200,0.6,"weibull_cox","Clip-IPCW",100,0.934745,0.0017375893989064,0.93425,0.90295,0.91085,0.96,1,0.02,0.000380000000000001,0.035505,0.217441255664866,0.920017502781313,0.0166881679490275,0.017375893989064,3.0602361454749,165.497465588616,0.102793585998653,3.0602361454749,0.641343271109418,NA
"A","C1",600,0.2,"weibull_cox","H-AIPCW",100,0.906375,0.00300504941218892,0.903,0.867325,0.87705,0.54,0.86,0.02,0.00746000000000001,0.021295,0.277155041569726,0.890060150097983,0.0318257566740963,0.0300504941218892,9.70784657875231,148.511064175254,NA,NA,NA,NA
"A","C1",1200,0.2,"weibull_cox","H-AIPCW",100,0.901415,0.00441593793301976,0.905,0.87145,0.877,0.6,0.88,0.02,0.00981000000000001,0.021035,0.274940526498639,0.885903900522622,0.0437867882846279,0.0441593793301976,14.0319664950653,285.276517738356,NA,NA,NA,NA
"A","C1",600,0.4,"weibull_cox","H-AIPCW",100,0.89454,0.00361213359261657,0.896,0.839475,0.8475,0.44,0.75,0.02,0.015935,0.02641,0.288701295794091,0.876354931704232,0.0368776300209164,0.0361213359261657,19.3935460026907,80.96585974494,NA,NA,NA,NA
"A","C1",1200,0.4,"weibull_cox","H-AIPCW",100,0.8996,0.00386389006891325,0.90275,0.85235,0.8724,0.52,0.8,0.02,0.01238,0.02436,0.282578809410641,0.883794745897836,0.0405113776261894,0.0386389006891325,35.2820778604386,146.042993413113,NA,NA,NA,NA
"A","C1",600,0.6,"weibull_cox","H-AIPCW",100,0.893995,0.0106798604363257,0.90025,0.784975,0.85745,0.51,0.78,0.02,0.02618,0.046355,0.280638109941597,0.875524570167965,0.0540179543664826,0.106798604363257,90.932914647291,39.564199953014,NA,NA,NA,NA
"A","C1",1200,0.6,"weibull_cox","H-AIPCW",100,0.887075,0.00666165104887442,0.8975,0.7929,0.82595,0.48,0.68,0.02,0.02658,0.040235,0.287021009588197,0.867116249797989,0.063077633744362,0.0666165104887442,179.070659971793,67.374056143812,NA,NA,NA,NA
"A","C1",600,0.2,"weibull_cox","H-IPCW",100,0.90064,0.00218983049018813,0.90125,0.86645,0.87135,0.52,0.82,0.02,0.00834000000000001,0.01732,0.281803818866873,0.883575928299157,0.0240645176577676,0.0218983049018813,9.70784657875231,148.511064175254,NA,NA,NA,NA
