"method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"CC",600,0.931316666666667,0.00179917075232742,0.9345,0.892475,0.903,0.918333333333333,0.983333333333333,0.02,0.00237,0.0360566666666666,0.221430911259711,0.917747448353681,0.0232647294191687,0.0440705030334151,1,216.438333333333,NA,NA,NA,NA
"Clip-AIPCW",600,0.917565,0.00177288986315824,0.92,0.883425,0.89095,0.805,0.955,0.02,0.00399583333333334,0.0255566666666667,0.24936714243117,0.902279095304953,0.02230605523545,0.0434267553489039,2.21755985882637,203.259888034806,0.103342812855963,2.21755985882637,0.7855175724637,NA
"Clip-IPCW",600,0.919725833333333,0.00176867462583221,0.9215,0.885475,0.8935,0.826666666666667,0.968333333333333,0.02,0.00347,0.0266658333333333,0.24600955005073,0.904704101109033,0.0224043816268684,0.0433235035429687,2.21755985882637,203.259888034806,0.103342812855963,2.21755985882637,0.7855175724637,NA
"H-AIPCW",600,0.897166666666667,0.0024462569691201,0.901,0.839975,0.8605,0.515,0.791666666666667,0.02,0.0163908333333333,0.0299483333333333,0.282647416084574,0.879792424698105,0.0464541947431835,0.0599208135407155,58.0698352593384,127.955781861415,NA,NA,NA,NA
"H-IPCW",600,0.90053,0.00249094992976327,0.90675,0.85645,0.8715,0.618333333333333,0.85,0.02,0.0133833333333333,0.0272966666666667,0.269853487851,0.883743681286268,0.046482397144468,0.0610155630274161,58.0698352593384,127.955781861415,NA,NA,NA,NA
"HT-IPCW",600,0.913480833333333,0.00461295326959971,0.95775,0.689875,0.7874,0.7,0.755,0.02,0.0348675,0.0832158333333333,0.175516973576943,0.900207280264519,0.103299490032954,0.112993817178226,58.0698352593384,127.955781861415,NA,NA,NA,NA
"Naive-Y",600,0.975693333333333,0.00177956313326591,0.986,0.94045,0.9509,0.998333333333333,0.998333333333333,0.02,0.0015,0.0786933333333333,0.0817283593616121,0.968593889869501,0.0175031279500441,0.0435902164156993,1,360,NA,NA,NA,NA
"Stab-IPCW",600,0.934885833333333,0.00197117932716774,0.939,0.893475,0.9045,0.925,0.981666666666667,0.02,0.00314333333333334,0.0411725,0.210260164026968,0.921874385784114,0.0288458715794588,0.0482838354308362,7.9454135723884,187.092610769316,NA,NA,NA,NA
