"method","mean_cov","mcse_cov","q05_cov","q10_cov","pac_ge_090","pac_ge_088","med_lpb","mean_ess","mean_maxwt"
"Naive-Y",0.977353333333333,0.000717353063902109,0.940975,0.951,1,1,0.0816627782581777,360,1
"CC",0.932864166666667,0.000905378228859982,0.8925,0.90345,0.92,0.985,0.221430911259711,216.438333333333,1
"HT-IPCW",0.915140833333333,0.00435567509530346,0.69095,0.79065,0.701666666666667,0.756666666666667,0.173923427862771,127.955781861415,58.0698352593385
"H-IPCW",0.902031666666667,0.00198611582966648,0.85745,0.87195,0.62,0.851666666666667,0.269853487851,127.955781861415,58.0698352593385
"Stab-IPCW",0.936433333333333,0.00120407665602398,0.893975,0.90495,0.926666666666667,0.983333333333333,0.210260164026969,187.092610769316,7.9454135723884
"Clip-IPCW",0.921259166666667,0.000877868063019367,0.88645,0.8935,0.828333333333333,0.97,0.24600955005073,203.259888034806,2.21755985882637
"H-AIPCW",0.898648333333333,0.00193419374647327,0.84,0.86095,0.515,0.793333333333333,0.282647416084575,127.955781861415,58.0698352593385
"Clip-AIPCW",0.919066666666667,0.000893057115163507,0.883975,0.891,0.806666666666667,0.956666666666667,0.249367142431171,203.259888034806,2.21755985882637
