"method","tau_hat","calibration_moment","clip_c","coverage_ipcw_hajek","coverage_ipcw_ht","observed_y_coverage","coverage_shortfall","abs_calibration_error","pac_success","mean_lpb","median_lpb","mean_log_lpb","sd_lpb","worst_slice_coverage","max_raw_weight","max_normalized_weight","weight_variance","weight_cv","effective_sample_size","clipped_fraction","computation_time_sec","split","n_total","n_train","n_cal","n_test","events_train","events_cal","events_test","censoring_test"
"HT-IPCW",0.01,-0.0897067384675371,Inf,1,0.706533726348395,0.976744186046512,0,0.1,1,0.369347395424651,0.229964410257473,-1.48213287094779,0.884381022125598,1,46.3156620453532,46.3156620453532,12.9286428151011,4.43745785454199,8.31070166632348,NA,0.223,2,686,343,171,172,152,69,78,0.546511627906977
"H-IPCW",0.1,0.00916058264348937,Inf,0.857759215049288,0.606035814518448,0.831395348837209,0.0422407849507125,0.0422407849507125,0,1.50290956788184,1.24374434088762,0.179900508689199,1.28084049310136,0.639704857978737,46.3156620453532,57.1591351478833,12.9286428151011,4.43745785454199,8.31070166632348,NA,0.0609999999999999,2,686,343,171,172,152,69,78,0.546511627906977
"Stab-IPCW",0.08,0.00129397840519499,Inf,0.922449758401661,0.651741865172703,0.872093023255814,0,0.0224497584016612,1,1.3003670693302,1.05133630146719,0.0156608624174132,1.25215459354743,0.837093810348514,1.56896160341953,3.76770935591086,0.264790932205318,1.23571020272613,67.9096920439902,NA,0.0600000000000001,2,686,343,171,172,152,69,78,0.546511627906977
"Clip-IPCW",0.08,0.0123516703347212,1.70550831774826,0.922449758401661,0.651741865172703,0.872093023255814,0,0.0224497584016612,1,1.3003670693302,1.05133630146719,0.0156608624174132,1.25215459354743,0.837093810348514,1.70550831774826,3.47352738640237,0.379616343627921,1.2548428385191,66.6556955394579,0.101449275362319,0.0670000000000002,2,686,343,171,172,152,69,78,0.546511627906977
"H-AIPCW",0.01,-1.86782588364376,Inf,1,0.706533726348395,0.976744186046512,0,0.1,1,0.369347395424651,0.229964410257473,-1.48213287094779,0.884381022125598,1,46.3156620453532,57.1591351478833,12.9286428151011,4.43745785454199,8.31070166632348,NA,0.129,2,686,343,171,172,152,69,78,0.546511627906977
"Clip-AIPCW",0.07,0.0252751927214981,1.70550831774826,0.931139551622214,0.657881497158017,0.883720930232558,0,0.0311395516222138,1,1.19102512020257,0.951522168576227,-0.0823535537430125,1.21706476619619,0.837093810348514,1.70550831774826,3.47352738640237,0.379616343627921,1.2548428385191,66.6556955394579,0.101449275362319,0.135,2,686,343,171,172,152,69,78,0.546511627906977
"Naive-Y",0.07,0.00643274853801167,Inf,0.891881685281811,0.611348610330773,0.872093023255814,0.0081183147181888,0.0081183147181888,0,1.22833370918449,1.06224050044294,0.0711472689220065,0.839845668511719,0.537914946099447,1,1,0,0,171,NA,0.0509999999999997,3,686,343,171,172,144,84,71,0.587209302325581
"CC",0.07,0.0166666666666666,Inf,0.891881685281811,0.611348610330773,0.872093023255814,0.0081183147181888,0.0081183147181888,0,1.22833370918449,1.06224050044294,0.0711472689220065,0.839845668511719,0.537914946099447,1,1,0.251393188854489,1.02068933701155,84,NA,0.0500000000000003,3,686,343,171,172,144,84,71,0.587209302325581
"HT-IPCW",0.01,-0.206711014251982,Inf,1,0.685459316431195,0.982558139534884,0,0.1,1,0.324399333899084,0.261094809898681,-1.3261530105652,0.46250812959343,1,8.14322890341594,8.14322890341594,0.916386790364265,1.38078197641251,59.0590056243949,NA,0.222,3,686,343,171,172,144,84,71,0.587209302325581
"H-IPCW",0.07,0.0383877753777513,Inf,0.891881685281811,0.611348610330773,0.872093023255814,0.0081183147181888,0.0081183147181888,0,1.22833370918449,1.06224050044294,0.0711472689220065,0.839845668511719,0.537914946099447,8.14322890341594,11.7457929821716,0.916386790364265,1.38078197641251,59.0590056243949,NA,0.0630000000000002,3,686,343,171,172,144,84,71,0.587209302325581
"Stab-IPCW",0.07,0.0142075674978975,Inf,0.891881685281811,0.611348610330773,0.872093023255814,0.0081183147181888,0.0081183147181888,0,1.22833370918449,1.06224050044294,0.0711472689220065,0.839845668511719,0.537914946099447,1.11922377588104,2.33753762800719,0.24370062769475,1.03102692537307,83.1388544565376,NA,0.0609999999999999,3,686,343,171,172,144,84,71,0.587209302325581
"Clip-IPCW",0.07,0.0307594405977824,1.94172505519392,0.891881685281811,0.611348610330773,0.872093023255814,0.0081183147181888,0.0081183147181888,0,1.22833370918449,1.06224050044294,0.0711472689220065,0.839845668511719,0.537914946099447,1.94172505519392,3.14750995098071,0.440875624073293,1.07631011303887,79.4731927003709,0.107142857142857,0.0670000000000002,3,686,343,171,172,144,84,71,0.587209302325581
"H-AIPCW",0.07,0.00998746207725406,Inf,0.891881685281811,0.611348610330773,0.872093023255814,0.0081183147181888,0.0081183147181888,0,1.22833370918449,1.06224050044294,0.0711472689220065,0.839845668511719,0.537914946099447,8.14322890341594,11.7457929821716,0.916386790364265,1.38078197641251,59.0590056243949,NA,0.129,3,686,343,171,172,144,84,71,0.587209302325581
"Clip-AIPCW",0.07,0.013526170423558,1.94172505519392,0.891881685281811,0.611348610330773,0.872093023255814,0.0081183147181888,0.0081183147181888,0,1.22833370918449,1.06224050044294,0.0711472689220065,0.839845668511719,0.537914946099447,1.94172505519392,3.14750995098071,0.440875624073293,1.07631011303887,79.4731927003709,0.107142857142857,0.136,3,686,343,171,172,144,84,71,0.587209302325581
"Naive-Y",0.07,0.000584795321637405,Inf,0.935519856006466,0.645098783614781,0.877906976744186,0,0.035519856006466,1,1.24820240239093,0.884931938838894,0.0016162529061259,1.2405170238062,0.769601517557352,1,1,0,0,171,NA,0.0509999999999997,4,686,343,171,172,151,72,76,0.558139534883721
"CC",0.08,0.00277777777777777,Inf,0.926817223494889,0.639097780417019,0.872093023255814,0,0.0268172234948888,1,1.35974136134953,0.974805045463636,0.096655919090232,1.27769552258465,0.769601517557352,1,1,0.245201238390093,1.17604771811951,72,NA,0.0510000000000002,4,686,343,171,172,151,72,76,0.558139534883721
"HT-IPCW",0.1,0.028745599832514,Inf,0.889675593545228,0.613486330111435,0.848837209302326,0.0103244064547718,0.0103244064547718,0,1.57386910449425,1.14733960801145,0.256777189060423,1.35893841493377,0.660920898418787,77.8924839218754,77.8924839218754,35.6408888968497,5.91569728473458,4.77776111890408,NA,0.224,4,686,343,171,172,151,72,76,0.558139534883721
"H-IPCW",0.1,0.0202979361699551,Inf,0.889675593545228,0.613486330111435,0.848837209302326,0.0103244064547718,0.0103244064547718,0,1.57386910449425,1.14733960801145,0.256777189060423,1.35893841493377,0.660920898418787,77.8924839218754,77.1839911913236,35.6408888968497,5.91569728473458,4.77776111890408,NA,0.0619999999999998,4,686,343,171,172,151,72,76,0.558139534883721
"Stab-IPCW",0.08,0.00544962972386905,Inf,0.926817223494889,0.639097780417019,0.872093023255814,0,0.0268172234948888,1,1.35974136134953,0.974805045463636,0.096655919090232,1.27769552258465,0.769601517557352,2.1039984941146,4.85953684635252,0.275301619771732,1.21186387080498,69.5114701920383,NA,0.0630000000000002,4,686,343,171,172,151,72,76,0.558139534883721
"Clip-IPCW",0.08,0.0134689413903406,1.63525261616685,0.926817223494889,0.639097780417019,0.872093023255814,0,0.0268172234948888,1,1.35974136134953,0.974805045463636,0.096655919090232,1.27769552258465,0.769601517557352,1.63525261616685,3.31648562087347,0.351031418943848,1.20161754489063,70.2131577972061,0.111111111111111,0.0679999999999996,4,686,343,171,172,151,72,76,0.558139534883721
"H-AIPCW",0.01,-0.0985736510561548,Inf,0.988346918898717,0.681526309759664,0.953488372093023,0,0.0883469188987169,1,0.365444520708931,0.223290517413185,-1.36267435456168,0.73692404579925,0.86890141364667,77.8924839218754,77.1839911913236,35.6408888968497,5.91569728473458,4.77776111890408,NA,0.13,4,686,343,171,172,151,72,76,0.558139534883721
"Clip-AIPCW",0.06,0.00384918803742731,1.63525261616685,0.953331566905453,0.657381059572113,0.901162790697674,0,0.0533315669054532,1,1.1327624461546,0.791915583007266,-0.107502662685805,1.20620813661426,0.769601517557352,1.63525261616685,3.31648562087347,0.351031418943848,1.20161754489063,70.2131577972061,0.111111111111111,0.137,4,686,343,171,172,151,72,76,0.558139534883721
"Naive-Y",0.06,0.0122807017543859,Inf,0.967293887145096,0.713497909351819,0.906976744186046,0,0.0672938871450955,1,1.00075464002739,0.793141691417636,-0.172115899669035,0.765954765593294,0.883550286675939,1,1,0,0,171,NA,0.0519999999999996,5,686,343,171,172,150,72,77,0.552325581395349
"CC",0.06,0.0166666666666666,Inf,0.967293887145096,0.713497909351819,0.906976744186046,0,0.0672938871450955,1,1.00075464002739,0.793141691417636,-0.172115899669035,0.765954765593294,0.883550286675939,1,1,0.245201238390093,1.17604771811951,72,NA,0.0519999999999996,5,686,343,171,172,150,72,77,0.552325581395349
"HT-IPCW",0.01,-0.190766813515349,Inf,1,0.737622679967162,0.976744186046512,0,0.1,1,0.272270552624672,0.215786285663423,-1.4738292833829,0.208389668128723,1,19.9869536391381,19.9869536391381,3.0418791868962,2.43873979417633,24.7371806061443,NA,0.228000000000001,5,686,343,171,172,150,72,77,0.552325581395349
"H-IPCW",0.07,0.0141331549458164,Inf,0.959159003358616,0.707497434572014,0.901162790697674,0,0.0591590033586156,1,1.12181156071704,0.889084579907238,-0.0579254115534471,0.858608970331979,0.845083375477096,19.9869536391381,27.9473793110054,3.0418791868962,2.43873979417633,24.7371806061443,NA,0.0609999999999999,5,686,343,171,172,150,72,77,0.552325581395349
"Stab-IPCW",0.06,0.0213296766853489,Inf,0.967293887145096,0.713497909351819,0.906976744186046,0,0.0672938871450955,1,1.00075464002739,0.793141691417636,-0.172115899669035,0.765954765593294,0.883550286675939,4.84734786770345,10.8253494190283,0.372275974136756,1.36260582107338,60.0877753720313,NA,0.0620000000000003,5,686,343,171,172,150,72,77,0.552325581395349
"Clip-IPCW",0.06,0.0337790509978261,2.17920680795804,0.967293887145096,0.713497909351819,0.906976744186046,0,0.0672938871450955,1,1.00075464002739,0.793141691417636,-0.172115899669035,0.765954765593294,0.883550286675939,2.17920680795804,3.91588289018583,0.489591595606438,1.25732695204905,66.494889386532,0.111111111111111,0.069,5,686,343,171,172,150,72,77,0.552325581395349
"H-AIPCW",0.01,-0.149195325514656,Inf,1,0.737622679967162,0.976744186046512,0,0.1,1,0.272270552624672,0.215786285663423,-1.4738292833829,0.208389668128723,1,19.9869536391381,27.9473793110054,3.0418791868962,2.43873979417633,24.7371806061443,NA,0.132,5,686,343,171,172,150,72,77,0.552325581395349
"Clip-AIPCW",0.06,0.0128375105176121,2.17920680795804,0.967293887145096,0.713497909351819,0.906976744186046,0,0.0672938871450955,1,1.00075464002739,0.793141691417636,-0.172115899669035,0.765954765593294,0.883550286675939,2.17920680795804,3.91588289018583,0.489591595606438,1.25732695204905,66.494889386532,0.111111111111111,0.137,5,686,343,171,172,150,72,77,0.552325581395349
"Naive-Y",0.05,0.0239766081871345,Inf,0.928986938575441,0.545762815625741,0.924418604651163,0,0.0289869385754408,1,0.852464251566775,0.790813576562602,-0.258449565138747,0.389556066029967,0.819983861476245,1,1,0,0,171,NA,0.0510000000000002,6,686,343,171,172,148,81,70,0.593023255813954
