"method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","mean_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_time_sec"
"Naive-Y",100,0.942560131401224,0.00314713939738221,0.943172006603408,0.92,0.00200639056917237,0.0465729125395686,0.773781996209806,0.957892195501021,0.791183980027508,0.0163975238337618,0.0314713939738221,1,171,NA,0.0496800000000003
"CC",100,0.936989461663351,0.00314387944030234,0.940534013876719,0.86,0.0028836436771927,0.0427567490177368,0.813322571439685,1.00997789409847,0.780988810591152,0.0151757382127866,0.0314387944030234,1,74.13,NA,0.0487800000000004
"HT-IPCW",100,0.962704802707107,0.0124858159981449,1,0.9,0.0248300966036889,0.112364995914485,0.232093823455086,0.495645592978191,0.925448994516118,0.0540866308468519,0.124858159981449,19.9136750199909,36.602331125269,NA,0.22416
"H-IPCW",100,0.900741624013827,0.00535468458049994,0.910170643533628,0.59,0.0195874361074554,0.0399164962287372,0.955071778455894,1.20227921050014,0.701277155534027,0.017342654836203,0.0535468458049994,19.9136750199909,36.602331125269,NA,0.0594800000000001
"Stab-IPCW",100,0.936429992914012,0.00317926496958749,0.940534013876719,0.85,0.00289368783461948,0.0422173685832512,0.804226492673132,1.01200524585482,0.781995594110058,0.0153728082120097,0.0317926496958749,2.28842368541708,70.9619896504453,NA,0.0598400000000002
"Clip-IPCW",100,0.924237290160484,0.00390750960586252,0.928397673374861,0.81,0.00677611316886145,0.0377895164982066,0.878364536593484,1.08547306548462,0.747620793753001,0.0156036773702466,0.0390750960586252,1.78478665546886,70.9969840055141,0.104696702136834,0.0649500000000001
"H-AIPCW",100,0.969660060962645,0.00415192726428603,0.993271635003805,0.91,0.00139356406910396,0.0724471891008525,0.253476436529961,0.603799414610783,0.895719920710433,0.0298716107920737,0.0415192726428603,19.9136750199909,36.602331125269,NA,0.13035
"Clip-AIPCW",100,0.937368455222415,0.00327039168440644,0.939142596398369,0.87,0.00298710393580885,0.0433426630940323,0.813366094105485,1.00851034322531,0.779702300026195,0.0170261237188295,0.0327039168440644,1.78478665546886,70.9969840055141,0.104696702136834,0.13692
