"rep","n","setting","mech","cens","backend","method","fit_ok","error_msg","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac","clip_level","nu_hat_c","runtime"
5,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.08,0.956,0,0.0559999999999999,0.39911052369272,0.335481558637562,-1.08866458069372,0.943564356435644,31.4615989232579,31.5263069149434,26.8128424817519,2.82563304902234,NA,NA,NA,NA
5,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.1,0.9265,0,0.0265,0.460000496932622,0.386664030447424,-0.94667539119096,0.906930693069307,3.27237586336296,4.65857363297009,84.0479940381451,1.36501830933367,0.0957446808510638,3.27237586336296,0.702441588602013,NA
5,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.932,0,0.032,0.435986314241689,0.386400222039045,-0.970834796750177,0.910891089108911,NA,NA,NA,NA,NA,NA,NA,NA
6,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.01,0.999,0,0.099,0.15317105544605,0.132099480169942,-2.0113127601996,0.996,102.747097286602,75.6540447363916,9.2074973427792,5.01703022654892,NA,NA,NA,NA
6,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.08,0.944,0,0.0439999999999999,0.442771828484148,0.38186019027108,-0.949813489035158,0.928,3.18066701809323,4.02907321208779,90.9810273066162,1.28248423367888,0.105769230769231,3.18066701809323,0.789428945731435,NA
6,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.01,0.999,0,0.099,0.15317105544605,0.132099480169942,-2.0113127601996,0.996,102.747097286602,75.6540447363916,9.2074973427792,5.01703022654892,NA,NA,NA,NA
6,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.08,0.944,0,0.0439999999999999,0.442771828484148,0.38186019027108,-0.949813489035158,0.928,3.18066701809323,4.02907321208779,90.9810273066162,1.28248423367888,0.105769230769231,3.18066701809323,0.789428945731435,NA
6,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.924,0,0.024,0.469333177078097,0.425930496405282,-0.864167559990606,0.898,NA,NA,NA,NA,NA,NA,NA,NA
7,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.07,0.9715,0,0.0715,0.346612049443735,0.302132276071714,-1.19554839749193,0.962,9.15320005086344,9.9926662024792,77.6855643259258,1.44848859825439,NA,NA,NA,NA
7,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.08,0.9605,0,0.0605,0.377119222482282,0.328724547290912,-1.11119316140472,0.946,2.80649726424438,3.54832106961031,99.3882518731821,1.19192779728327,0.178571428571429,2.80649726424438,0.790936673764023,NA
7,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.08,0.9605,0,0.0605,0.377119222482282,0.328724547290912,-1.11119316140472,0.946,9.15320005086344,9.9926662024792,77.6855643259258,1.44848859825439,NA,NA,NA,NA
7,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.08,0.9605,0,0.0605,0.377119222482282,0.328724547290912,-1.11119316140472,0.946,2.80649726424438,3.54832106961031,99.3882518731821,1.19192779728327,0.178571428571429,2.80649726424438,0.790936673764023,NA
7,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.945,0,0.0449999999999999,0.417445168316301,0.378925825664814,-0.987286795507733,0.916,NA,NA,NA,NA,NA,NA,NA,NA
8,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.07,0.9415,0,0.0415,0.447885031180718,0.397665854439483,-0.921050722915022,0.912,11.7571294492359,13.8626016478589,56.9004633029331,1.79759723662064,NA,NA,NA,NA
8,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.07,0.9415,0,0.0415,0.447885031180718,0.397665854439483,-0.921050722915022,0.912,3.6897115752326,4.99124375600038,80.1976024801674,1.41454778558815,0.0860215053763441,3.6897115752326,0.739236902785383,NA
8,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.08,0.9245,0,0.0245,0.481849983969358,0.427822481768788,-0.847954466538605,0.892,11.7571294492359,13.8626016478589,56.9004633029331,1.79759723662064,NA,NA,NA,NA
8,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.07,0.9415,0,0.0415,0.447885031180718,0.397665854439483,-0.921050722915022,0.912,3.6897115752326,4.99124375600038,80.1976024801674,1.41454778558815,0.0860215053763441,3.6897115752326,0.739236902785383,NA
8,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.922,0,0.022,0.486139962348104,0.439072471308756,-0.829332382333034,0.888,NA,NA,NA,NA,NA,NA,NA,NA
9,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.05,0.966,0,0.0659999999999999,0.380020861646393,0.320112830654298,-1.13543156190251,0.94949494949495,18.9584150988696,22.1135160595002,44.1613918457238,2.11025263377589,NA,NA,NA,NA
9,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.03,0.9815,0,0.0815,0.290508674748335,0.244711708195247,-1.40402427489933,0.97,3.36042617177061,4.8804507298969,77.6079540189445,1.44955911112658,0.112359550561798,3.36042617177061,0.688548324273647,NA
