"method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"Clip-AIPCW",1600,0.9345321875,0.000619971513908553,0.937,0.891975,0.9025,0.915,0.974375,0.02,0.0014040625,0.0373403125,0.395915493172376,0.904683751419869,0.0265193240221469,0.0247988605563421,4.63071267357193,88.4101086585508,0.112098108585902,4.6333268159581,0.613935819436775,NA
"Clip-IPCW",1600,0.9370384375,0.000615606040116781,0.94,0.8935,0.90445,0.923125,0.978125,0.02,0.001218125,0.0394746875,0.38810413336332,0.907849347657604,0.0264947869133437,0.0246242416046712,4.63071267357193,88.4101086585508,0.112098108585902,4.6333268159581,0.613935819436775,NA
"DR-COSARC",1600,0.935256578947368,0.000886647240396431,0.937,0.913375,0.919,0.989974937343358,0.99812030075188,0.02,0.00117105263157895,0.0375986842105263,0.377497674400357,0.900568339970292,NA,0.0354215295114223,NA,NA,NA,NA,NA,NA
"H-AIPCW",1600,0.890284375,0.00242935847543409,0.908,0.703,0.80045,0.5625,0.694375,0.02,0.035039375,0.060363125,0.466194777356688,0.853981353481744,0.0885057667904158,0.0971743390173637,2581.53462815247,39.2218276734771,NA,NA,NA,NA
"H-IPCW",1600,0.9036040625,0.00188556766861452,0.9195,0.7845,0.85245,0.69,0.813125,0.02,0.02078,0.0451640625,0.438987247390736,0.867596198992745,0.0672923066485598,0.0754227067445807,2581.53462815247,39.2218276734771,NA,NA,NA,NA
