"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"C","C3",600,0.6,"weibull_cox","Clip-IPCW",100,0.925975,0.00275144934259173,0.9305,0.87195,0.8836,0.83,0.91,0.02,0.00357,0.033115,0.438612725080321,0.89360369703738,0.0266020049369717,0.0275144934259173,3.07745303684471,81.434476014533,0.116115472607836,3.07745303684471,0.646929642455882,NA
"B","C2",1200,0.6,"weibull_cox","Clip-IPCW",100,0.93643,0.00147434320251015,0.93925,0.91095,0.91495,0.98,1,0.02,1.00000000000011e-05,0.03645,0.37709538668616,0.903389530771999,0.0149057645956797,0.0147434320251015,3.64381426765787,162.706962398466,0.107352215863552,3.64381426765787,0.76367962738857,NA
"C","C2",1200,0.6,"weibull_cox","Clip-IPCW",100,0.92415,0.00191260439076029,0.92625,0.8905,0.8982,0.89,1,0.02,0.001055,0.02626,0.452603497973784,0.892977567972931,0.0189896303441131,0.0191260439076029,3.48579223781703,165.247765713882,0.109451704137873,3.48579223781703,0.768195858740403,NA
"B","C3",1200,0.6,"weibull_cox","Clip-IPCW",100,0.93136,0.00178087596196905,0.932,0.898725,0.9143,0.93,0.98,0.02,0.000780000000000003,0.03292,0.385136950513592,0.909278577248379,0.0149409612552982,0.0178087596196905,3.16702690242961,164.548685771593,0.108448959002137,3.16702690242961,0.663598778944461,NA
"C","C3",1200,0.6,"weibull_cox","Clip-IPCW",100,0.92775,0.00170353909686436,0.927,0.900925,0.90435,0.95,1,0.02,0.000205000000000002,0.02816,0.446326665843589,0.896372592962687,0.0179223916152985,0.0170353909686436,3.15301401674967,164.30076126421,0.109296169206987,3.15301401674967,0.662078346104884,NA
"B","C2",600,0.8,"weibull_cox","Clip-IPCW",100,0.951545,0.00239203323133229,0.95375,0.92145,0.925,0.99,0.99,0.02,0.001005,0.053555,0.33916958068697,0.923524054971883,0.0283199611938329,0.0239203323133229,6.49019112356974,36.2044853460339,0.124451618191088,6.49019112356974,0.57853737450094,NA
"C","C2",600,0.8,"weibull_cox","Clip-IPCW",100,0.931895,0.00338386169183892,0.938,0.8755,0.8889,0.81,0.93,0.02,0.00366000000000001,0.039215,0.417132264503339,0.895993349522654,0.0323508231359846,0.0338386169183892,6.61710248239569,35.710092643435,0.118339732056403,6.61710248239569,0.586347098304829,NA
"B","C3",600,0.8,"weibull_cox","Clip-IPCW",100,0.951175,0.00209585178315875,0.9495,0.911375,0.9275,0.99,1,0.02,6.50000000000006e-05,0.051305,0.333551089177858,0.928498191855494,0.0227171896825005,0.0209585178315875,5.07801248732296,37.2317926302582,0.121486372668152,5.11983876550166,0.460192653721339,NA
"C","C3",600,0.8,"weibull_cox","Clip-IPCW",100,0.938575,0.00335740832437248,0.94725,0.878425,0.8958,0.87,0.94,0.02,0.002955,0.044485,0.393033836577216,0.904321248673606,0.0260882341218404,0.0335740832437248,5.06136623575935,36.5352874933166,0.117558733248037,5.06136623575935,0.442842499350992,NA
"B","C2",1200,0.8,"weibull_cox","Clip-IPCW",100,0.954325,0.00128309472398069,0.95425,0.933425,0.93685,1,1,0.02,0,0.054325,0.334541215174812,0.927459742993637,0.0154641978175854,0.0128309472398069,6.68354708735368,71.6738493114079,0.113076493447915,6.68354708735368,0.589865739870838,NA
"C","C2",1200,0.8,"weibull_cox","Clip-IPCW",100,0.935215,0.00230694225670206,0.935,0.89525,0.9027,0.91,0.98,0.02,0.001005,0.037225,0.422926417720785,0.905894872436464,0.0208350908349594,0.0230694225670206,6.97736941740125,68.908061227769,0.104197621777492,6.97736941740125,0.588208440240524,NA
"B","C3",1200,0.8,"weibull_cox","Clip-IPCW",100,0.95199,0.00151853830569353,0.9545,0.923975,0.93045,1,1,0.02,0,0.05199,0.324060840096341,0.934216641256252,0.0138720706253372,0.0151853830569353,5.33156484661792,72.5839801263467,0.106677122610524,5.33156484661792,0.456694511287325,NA
"C","C3",1200,0.8,"weibull_cox","Clip-IPCW",100,0.942,0.00196113757958502,0.94425,0.912875,0.91695,0.97,1,0.02,0.000320000000000001,0.04264,0.397351488771029,0.914082346579895,0.0178535003500007,0.0196113757958502,5.10614100320311,70.8836131760619,0.108989771735733,5.10614100320311,0.434065220827765,NA
"B","C2",600,0.6,"weibull_cox","DR-COSARC",100,0.9375,0.00117059943204455,0.93725,0.91645,0.9238,1,1,0.02,0,0.0375,0.388836767759398,0.903393679580887,NA,0.0117059943204455,NA,NA,NA,NA,NA,NA
"C","C2",600,0.6,"weibull_cox","DR-COSARC",100,0.928060606060606,0.00144717811849895,0.927,0.90295,0.912,0.96969696969697,1,0.02,9.09090909090921e-05,0.0282424242424242,0.455014675282657,0.897286322393629,NA,0.0143992404716205,NA,NA,NA,NA,NA,NA
