method,R,mean_cov,mcse_cov,med_cov,pac_success,mean_short,mean_abscal,med_lpb,mean_lpb,worst_slice,sd_tau,sd_cov,mean_maxwt,mean_ess,mean_clipfrac,mean_time_sec
Naive-Y,100,0.9425601314012239,0.003147139397382215,0.9431720066034077,0.92,0.0020063905691723705,0.04657291253956856,0.7737819962098056,0.9578921955010207,0.7911839800275078,0.01639752383376185,0.03147139397382215,1,171,NA,0.04861000000000028
CC,100,0.9369894616633514,0.003143879440302337,0.9405340138767189,0.86,0.0028836436771926977,0.042756749017736816,0.8133225714396848,1.0099778940984665,0.780988810591152,0.01517573821278656,0.03143879440302337,1,74.13,NA,0.0484899999999998
HT-IPCW,100,0.962704802707107,0.012485815998144856,1,0.9,0.02483009660368887,0.11236499591448477,0.23209382345508586,0.4956455929781908,0.9254489945161176,0.054086630846851946,0.12485815998144856,19.913675019990922,36.60233112526897,NA,0.22531000000000018
H-IPCW,100,0.9007416240138265,0.0053546845804999426,0.9101706435336282,0.59,0.019587436107455388,0.03991649622873725,0.9550717784558937,1.202279210500144,0.7012771555340268,0.01734265483620304,0.053546845804999424,19.913675019990922,36.60233112526897,NA,0.059179999999999906
Stab-IPCW,100,0.9364299929140122,0.0031792649695874904,0.9405340138767189,0.85,0.0028936878346194806,0.042217368583251175,0.8042264926731322,1.012005245854818,0.7819955941100584,0.01537280821200968,0.031792649695874906,2.2884236854170754,70.96198965044529,NA,0.05972999999999994
Clip-IPCW,100,0.9242372901604837,0.003907509605862516,0.9283976733748609,0.81,0.006776113168861452,0.0377895164982066,0.878364536593484,1.085473065484619,0.7476207937530014,0.01560367737024665,0.039075096058625164,1.7847866554688563,70.99698400551408,0.10469670213683367,0.06454999999999991
H-AIPCW,100,0.9696600609626447,0.00415192726428603,0.9932716350038048,0.91,0.0013935640691039586,0.07244718910085253,0.2534764365299611,0.6037994146107833,0.8957199207104335,0.029871610792073653,0.0415192726428603,19.913675019990922,36.60233112526897,NA,0.1300599999999999
Clip-AIPCW,100,0.9373684552224145,0.003270391684406443,0.9391425963983687,0.87,0.00298710393580885,0.04334266309403225,0.8133660941054848,1.0085103432253093,0.7797023000261948,0.01702612371882951,0.03270391684406443,1.7847866554688563,70.99698400551408,0.10469670213683367,0.13898000000000044
