method,tau_hat,calibration_moment,clip_c,coverage_ipcw_hajek,coverage_ipcw_ht,observed_y_coverage,coverage_shortfall,abs_calibration_error,pac_success,mean_lpb,median_lpb,mean_log_lpb,sd_lpb,worst_slice_coverage,max_raw_weight,max_normalized_weight,weight_variance,weight_cv,effective_sample_size,clipped_fraction,computation_time_sec,split,n_total,n_train,n_cal,n_test,events_train,events_cal,events_test,censoring_test
HT-IPCW,0.01,-0.1907668135153492,Inf,1,0.7376226799671616,0.9767441860465116,0,0.09999999999999998,1,0.27227055262467165,0.21578628566342334,-1.4738292833829025,0.2083896681287227,1,19.986953639138132,19.986953639138132,3.0418791868962023,2.4387397941763265,24.737180606144292,NA,0.22800000000000065,5,686,343,171,172,150,72,77,0.5523255813953488
H-IPCW,0.06999999999999999,0.014133154945816382,Inf,0.9591590033586156,0.7074974345720138,0.9011627906976745,0,0.05915900335861557,1,1.121811560717039,0.8890845799072379,-0.05792541155344712,0.8586089703319787,0.8450833754770963,19.986953639138132,27.94737931100537,3.0418791868962023,2.4387397941763265,24.737180606144292,NA,0.06099999999999994,5,686,343,171,172,150,72,77,0.5523255813953488
Stab-IPCW,0.060000000000000005,0.021329676685348874,Inf,0.9672938871450956,0.7134979093518186,0.9069767441860465,0,0.06729388714509554,1,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8835502866759388,4.847347867703448,10.8253494190283,0.3722759741367562,1.362605821073385,60.087775372031324,NA,0.06200000000000028,5,686,343,171,172,150,72,77,0.5523255813953488
Clip-IPCW,0.060000000000000005,0.03377905099782614,2.179206807958044,0.9672938871450956,0.7134979093518186,0.9069767441860465,0,0.06729388714509554,1,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8835502866759388,2.179206807958044,3.915882890185826,0.4895915956064383,1.2573269520490522,66.49488938653198,0.1111111111111111,0.06899999999999995,5,686,343,171,172,150,72,77,0.5523255813953488
H-AIPCW,0.01,-0.14919532551465556,Inf,1,0.7376226799671616,0.9767441860465116,0,0.09999999999999998,1,0.27227055262467165,0.21578628566342334,-1.4738292833829025,0.2083896681287227,1,19.986953639138132,27.94737931100537,3.0418791868962023,2.4387397941763265,24.737180606144292,NA,0.13199999999999967,5,686,343,171,172,150,72,77,0.5523255813953488
Clip-AIPCW,0.060000000000000005,0.012837510517612147,2.179206807958044,0.9672938871450956,0.7134979093518186,0.9069767441860465,0,0.06729388714509554,1,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8835502866759388,2.179206807958044,3.915882890185826,0.4895915956064383,1.2573269520490522,66.49488938653198,0.1111111111111111,0.13699999999999957,5,686,343,171,172,150,72,77,0.5523255813953488
Naive-Y,0.05,0.02397660818713448,Inf,0.9289869385754408,0.5457628156257408,0.9244186046511628,0,0.028986938575440768,1,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.8199838614762449,1,1,0,0,171,NA,0.051000000000000156,6,686,343,171,172,148,81,70,0.5930232558139535
CC,0.05,0.013580246913580174,Inf,0.9289869385754408,0.5457628156257408,0.9244186046511628,0,0.028986938575440768,1,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.8199838614762449,1,1,0.25077399380804954,1.0571882797418488,81,NA,0.04800000000000004,6,686,343,171,172,148,81,70,0.5930232558139535
HT-IPCW,0.01,-0.15674107483465827,Inf,0.9899342418422777,0.5815682402818848,0.9709302325581395,0,0.08993424184227772,1,0.27412730338969726,0.25430226877975665,-1.3929882303700225,0.12526971506854886,0.930683018051811,9.902277289805971,9.902277289805971,1.8080223891104379,1.8090966485752809,40.20037821477209,NA,0.22799999999999976,6,686,343,171,172,148,81,70,0.5930232558139535
H-IPCW,0.060000000000000005,0.009949164823636787,Inf,0.908257559691853,0.5335846851096884,0.9127906976744186,0,0.008257559691852934,1,0.9713485477747288,0.9011000962712536,-0.1278954783461973,0.4438833866869834,0.7192772198868019,9.902277289805971,13.322782888349654,1.8080223891104379,1.8090966485752809,40.20037821477209,NA,0.06099999999999994,6,686,343,171,172,148,81,70,0.5930232558139535
