"method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"Clip-AIPCW",8099,0.928832448450426,0.000487511965275524,0.9315,0.870848252870725,0.00384343746141499,0.0365193233732559,0.357740266938436,0.901594578511468,0.0369342152949652,0.0438733683913923,3.94899669435013,97.2978600658674,0.105233148004573
"Clip-IPCW",8099,0.928658291147055,0.000499897750351922,0.9325,0.864057291023583,0.00432275589578961,0.0373038029386344,0.357566144748913,0.901046490031775,0.0373687424516903,0.0449880202362272,3.94899669435013,97.2978600658674,0.105233148004573
"H-AIPCW",8099,0.899361773058402,0.000962892698415346,0.9095,0.596493394246203,0.0261022348438079,0.051566242746018,0.395401592406986,0.867592726900401,0.0767386303160846,0.0866549932883858,4192.09156261087,51.7016224998085,NA
"H-IPCW",8099,0.899765341400173,0.000878495429621205,0.9145,0.654154833930115,0.0218964069638227,0.0435581553278182,0.398078382663252,0.866626075871611,0.0682861725586194,0.0790597079851009,4192.09156261087,51.7016224998085,NA
"Stab-IPCW",8099,0.945991974317817,0.000653126085351595,0.954,0.940239535745154,0.00578985059883936,0.0575716755154957,0.294774286859358,0.923900025968219,0.0507643478783735,0.0587777190913946,441.427135520025,82.7612022310268,NA
