"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"A","C3",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.92111,0.00156509560168836,0.922,0.91,0.000720000000000004,0.02255,0.246227203374673,0.906682172545469,0.0158030811469591,0.0156509560168836,2.12144055452693,269.135083876102,0.101238438841361
"B","C3",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.919105,0.00171482388588332,0.9205,0.88,0.001525,0.022155,0.415368114150837,0.894531278282933,0.0147747395676854,0.0171482388588332,2.20686365668165,265.760053983584,0.101210872234315
"C","C3",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.91682,0.00171423805850066,0.91675,0.85,0.00154,0.0199,0.475212250349433,0.882124722950781,0.0180378390159031,0.0171423805850066,2.14907499363735,268.979823540921,0.10115572239193
"A","C1",300,0.6,"weibull_cox","Clip-AIPCW",100,0.934425,0.00308497806255809,0.937,0.88,0.002735,0.039895,0.213188822921483,0.915100391877834,0.0345206715994456,0.0308497806255809,3.21240736086079,41.7679425290077,0.107753050049756
"B","C1",300,0.6,"weibull_cox","Clip-AIPCW",100,0.933935,0.0028395800568024,0.93625,0.88,0.00189500000000001,0.037725,0.368516893057841,0.903636286848258,0.0293489971951962,0.028395800568024,3.60238296398914,40.4732148952681,0.106993051508399
"C","C1",300,0.6,"weibull_cox","Clip-AIPCW",100,0.931165,0.00351348811544507,0.937,0.87,0.004625,0.040415,0.417843033607177,0.898570981916304,0.0368787256292894,0.0351348811544507,3.7703420039806,39.5766185853065,0.107227649445828
"A","C2",300,0.6,"weibull_cox","Clip-AIPCW",100,0.928295,0.00333378099266744,0.93525,0.82,0.00430000000000001,0.036895,0.216289454350038,0.907823766591689,0.0391127610992638,0.0333378099266744,3.65277417355213,40.6988439683519,0.107845061794399
"B","C2",300,0.6,"weibull_cox","Clip-AIPCW",100,0.938725,0.00295905027590839,0.944,0.91,0.00155,0.041825,0.365838376888694,0.908187075450782,0.0334861647897043,0.0295905027590839,4.23406305421257,38.9226239594997,0.107680202229849
"C","C2",300,0.6,"weibull_cox","Clip-AIPCW",100,0.917235,0.00979483592810956,0.92975,0.79,0.01265,0.042535,0.434941631250674,0.881568672069657,0.0351906782882035,0.0979483592810956,4.04720617121737,39.81253556232,0.106789748640226
"A","C3",300,0.6,"weibull_cox","Clip-AIPCW",100,0.936315,0.00323327596793848,0.93875,0.89,0.002715,0.041745,0.20380053044967,0.918357445262489,0.0367710635025846,0.0323327596793848,3.18038218211918,41.6362352640738,0.107310746282285
