"rep","setting","mech","n","cens","q","method","cclip","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac","clip_level","nu_hat_c","runtime"
5,"A","C1",600,0.2,0.8,"Clip-IPCW",1.27390963500397,0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.27390963500397,1.40701151746264,193.702055678181,0.489914631093766,0.143589743589744,1.27390963500397,0.90540100005812,NA
5,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.27390963500397,0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.27390963500397,1.40701151746264,193.702055678181,0.489914631093766,0.143589743589744,1.27390963500397,0.90540100005812,NA
6,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.12,0.889,0.011,0.011,0.44309835424727,0.307252035812726,-1.19296836320638,0.874111675126904,18.496624875633,16.9800473715585,79.2835948790915,1.42674089049943,0,Inf,1.08931526932102,NA
6,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.01,0.9935,0,0.0935,0.0896833397614656,0.0621879735188938,-2.7904751082827,0.990029910269192,18.496624875633,16.9800473715585,79.2835948790915,1.42674089049943,0,Inf,1.08931526932102,NA
6,"A","C1",600,0.2,0.95,"Clip-IPCW",2.069061454483,0.11,0.896,0.004,0.004,0.418073509277574,0.289899376997509,-1.25110285064688,0.881218274111675,2.069061454483,2.23200295117361,179.478667964454,0.58190821797728,0.0529100529100529,2.069061454483,0.926997633849483,NA
6,"A","C1",600,0.2,0.95,"Clip-AIPCW",2.069061454483,0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,2.069061454483,2.23200295117361,179.478667964454,0.58190821797728,0.0529100529100529,2.069061454483,0.926997633849483,NA
6,"A","C1",600,0.2,0.9,"Clip-IPCW",1.55762302896346,0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,1.55762302896346,1.7285116113748,184.608657353737,0.548910558468926,0.0793650793650794,1.55762302896346,0.901135415413599,NA
6,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.55762302896346,0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,1.55762302896346,1.7285116113748,184.608657353737,0.548910558468926,0.0793650793650794,1.55762302896346,0.901135415413599,NA
6,"A","C1",600,0.2,0.85,"Clip-IPCW",1.37241688278363,0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,1.37241688278363,1.55385042785431,186.564312180573,0.536300357791974,0.142857142857143,1.37241688278363,0.883236158501292,NA
6,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.37241688278363,0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,1.37241688278363,1.55385042785431,186.564312180573,0.536300357791974,0.142857142857143,1.37241688278363,0.883236158501292,NA
6,"A","C1",600,0.2,0.8,"Clip-IPCW",1.22336226243945,0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,1.22336226243945,1.41730448574586,187.903079261355,0.527649764983781,0.227513227513228,1.22336226243945,0.863161215351447,NA
6,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.22336226243945,0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,1.22336226243945,1.41730448574586,187.903079261355,0.527649764983781,0.227513227513228,1.22336226243945,0.863161215351447,NA
7,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,2.59750393351754,2.77149025883389,187.360641002272,0.531156847548659,0,Inf,0.937222826325374,NA
7,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,2.59750393351754,2.77149025883389,187.360641002272,0.531156847548659,0,Inf,0.937222826325374,NA
7,"A","C1",600,0.2,0.95,"Clip-IPCW",1.62511238412565,0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,1.62511238412565,1.75957360332753,190.806904151107,0.508817107940152,0.0461538461538462,1.62511238412565,0.923583066404496,NA
7,"A","C1",600,0.2,0.95,"Clip-AIPCW",1.62511238412565,0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,1.62511238412565,1.75957360332753,190.806904151107,0.508817107940152,0.0461538461538462,1.62511238412565,0.923583066404496,NA
7,"A","C1",600,0.2,0.9,"Clip-IPCW",1.36371723967938,0.07,0.9135,0,0.0135,0.369800833972476,0.256929155748545,-1.34714196582575,0.897810218978102,1.36371723967938,1.50328874412216,192.779095982428,0.49595680009066,0.117948717948718,1.36371723967938,0.907155890717265,NA
7,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.36371723967938,0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,1.36371723967938,1.50328874412216,192.779095982428,0.49595680009066,0.117948717948718,1.36371723967938,0.907155890717265,NA
7,"A","C1",600,0.2,0.85,"Clip-IPCW",1.28731330122324,0.07,0.9135,0,0.0135,0.369800833972476,0.256929155748545,-1.34714196582575,0.897810218978102,1.28731330122324,1.4320915986674,193.413723370442,0.491803967774505,0.143589743589744,1.28731330122324,0.898904303622141,NA
7,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.28731330122324,0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,1.28731330122324,1.4320915986674,193.413723370442,0.491803967774505,0.143589743589744,1.28731330122324,0.898904303622141,NA
7,"A","C1",600,0.2,0.8,"Clip-IPCW",1.20602758721332,0.07,0.9135,0,0.0135,0.369800833972476,0.256929155748545,-1.34714196582575,0.897810218978102,1.20602758721332,1.35964150781393,194.051801572643,0.487620633990849,0.225641025641026,1.20602758721332,0.887018806267837,NA
7,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.20602758721332,0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,1.20602758721332,1.35964150781393,194.051801572643,0.487620633990849,0.225641025641026,1.20602758721332,0.887018806267837,NA
8,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.09,0.9415,0,0.0415,0.329464568754686,0.230799764900069,-1.47980292785111,0.936,10.1011859636534,10.5572553789318,145.079391162,0.810557942671291,0,Inf,0.956800380505277,NA
8,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.01,0.99,0,0.09,0.0797054159058286,0.0558360230414483,-2.89893420854062,0.988,10.1011859636534,10.5572553789318,145.079391162,0.810557942671291,0,Inf,0.956800380505277,NA
