method,tau_hat,calibration_moment,feasible_found,boundary_fallback,pac_success_nominal,pac_success_tol,clip_c,coverage_ipcw_hajek,coverage_ipcw_ht,observed_y_coverage,coverage_shortfall,abs_calibration_error,mean_lpb,median_lpb,mean_log_lpb,sd_lpb,worst_slice_coverage,max_raw_weight,max_normalized_weight,weight_variance,weight_cv,effective_sample_size,clipped_fraction,computation_time_sec,split,n_total,n_train,n_cal,n_test,events_train,events_cal,events_test,censoring_test
H-IPCW,0.06999999999999999,0.014133154945816382,TRUE,FALSE,1,1,Inf,0.956620151564106,0.6519038931142314,0.9011627906976745,0,0.056620151564105936,1.121811560717039,0.8890845799072379,-0.05792541155344712,0.8586089703319787,0.8518642657047905,19.986953639138132,27.94737931100537,3.0418791868962023,2.4387397941763265,24.737180606144292,NA,0.13200000000000145,5,686,343,171,172,150,72,77,0.5523255813953488
Stab-IPCW,0.060000000000000005,0.021329676685348874,TRUE,FALSE,1,1,Inf,0.9652412580121844,0.6577788821025623,0.9069767441860465,0,0.06524125801218439,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8885593598575703,4.847347867703448,10.8253494190283,0.3722759741367562,1.362605821073385,60.087775372031324,NA,0.14099999999999824,5,686,343,171,172,150,72,77,0.5523255813953488
Clip-IPCW,0.060000000000000005,0.029911491549564805,TRUE,FALSE,1,1,1.6316003208817533,0.9652412580121844,0.6577788821025623,0.9069767441860465,0,0.06524125801218439,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8885593598575703,1.6316003208817533,3.103104833870156,0.407164089111043,1.2135771744344488,69.39493261328244,0.19444444444444445,0.1460000000000008,5,686,343,171,172,150,72,77,0.5523255813953488
H-AIPCW,0.01,-0.14922522860311102,FALSE,TRUE,1,1,Inf,1,0.6814657751546909,0.9767441860465116,0,0.09999999999999998,0.27227055262467165,0.21578628566342334,-1.4738292833829025,0.2083896681287227,1,19.986953639138132,27.94737931100537,3.0418791868962023,2.4387397941763265,24.737180606144292,NA,0.34199999999999875,5,686,343,171,172,150,72,77,0.5523255813953488
Clip-AIPCW,0.060000000000000005,0.013439465690682106,TRUE,FALSE,1,1,1.6316003208817533,0.9652412580121844,0.6577788821025623,0.9069767441860465,0,0.06524125801218439,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8885593598575703,1.6316003208817533,3.103104833870156,0.407164089111043,1.2135771744344488,69.39493261328244,0.19444444444444445,0.254999999999999,5,686,343,171,172,150,72,77,0.5523255813953488
Naive-Y,0.05,0.02397660818713448,TRUE,FALSE,1,1,Inf,0.9333234172484394,0.5729881497836485,0.9244186046511628,0,0.033323417248439346,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.82914916549553,1,1,0,0,171,NA,0.06299999999999883,6,686,343,171,172,148,81,70,0.5930232558139535
CC,0.05,0.013580246913580174,TRUE,FALSE,1,1,Inf,0.9333234172484394,0.5729881497836485,0.9244186046511628,0,0.033323417248439346,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.82914916549553,1,1,0.25077399380804954,1.0571882797418488,81,NA,0.0730000000000004,6,686,343,171,172,148,81,70,0.5930232558139535
HT-IPCW,0.01,-0.15674107483465827,FALSE,TRUE,1,1,Inf,0.9905255342508571,0.6081058105850367,0.9709302325581395,0,0.09052553425085708,0.27412730338969726,0.25430226877975665,-1.3929882303700225,0.12526971506854886,0.9396666032416848,9.902277289805971,9.902277289805971,1.8080223891104379,1.8090966485752809,40.20037821477209,NA,0.3780000000000001,6,686,343,171,172,148,81,70,0.5930232558139535
H-IPCW,0.060000000000000005,0.009949164823636787,TRUE,FALSE,1,1,Inf,0.913797157449423,0.5610005415573193,0.9127906976744186,0,0.013797157449423003,0.9713485477747288,0.9011000962712536,-0.1278954783461973,0.4438833866869834,0.7420298545055102,9.902277289805971,13.322782888349654,1.8080223891104379,1.8090966485752809,40.20037821477209,NA,0.08999999999999986,6,686,343,171,172,148,81,70,0.5930232558139535
Stab-IPCW,0.05,0.016346994959929785,TRUE,FALSE,1,1,Inf,0.9333234172484394,0.5729881497836485,0.9244186046511628,0,0.033323417248439346,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.82914916549553,3.132431578768548,6.412259389293985,0.30166422454713515,1.1243237713276653,75.77397391241331,NA,0.0990000000000002,6,686,343,171,172,148,81,70,0.5930232558139535
