method,attempted,feasible_n,feasible_rate,fallback_rate,mean_cov_all,mean_cov_feasible,q05_cov_feasible,q10_cov_feasible,pac090_feasible,pac088_feasible,med_lpb_all,med_lpb_feasible,mean_ess,mean_maxwt,mean_clipfrac
CC,100,100,1,0,0.9357356889260493,0.9357356889260493,0.8815960330096877,0.8902226718001942,0.85,0.96,0.8133225714396848,0.8133225714396848,74.13,1,NA
Clip-AIPCW,100,100,1,0,0.9356575179238611,0.9356575179238611,0.8815960330096877,0.8912266182013623,0.86,0.96,0.8092194612003751,0.8092194612003751,71.3457809439771,1.7567826484674156,0.10915732168106103
Clip-IPCW,100,100,1,0,0.9238681561042862,0.9238681561042862,0.8502320317987984,0.8865521528802791,0.8,0.93,0.8810436937432067,0.8810436937432067,71.3457809439771,1.7567826484674156,0.10915732168106103
H-AIPCW,100,42,0.42,0.58,0.9692400733023112,0.9297843744869525,0.8732033503165741,0.8815925582907573,0.7857142857142857,0.9285714285714286,0.2534764365299611,0.8832853282986246,36.60233112526897,19.913675019990922,NA
H-IPCW,100,100,1,0,0.899685513744573,0.899685513744573,0.7819448070237702,0.8289586309638931,0.6,0.74,0.9550717784558937,0.9550717784558937,36.60233112526897,19.913675019990922,NA
HT-IPCW,100,12,0.12,0.88,0.9626229041343943,0.7064117532066401,0.2852912431317525,0.34834144239932047,0.16666666666666666,0.25,0.23209382345508586,1.5168556580720525,36.60233112526897,19.913675019990922,NA
Naive-Y,100,100,1,0,0.9417043717417966,0.9417043717417966,0.8882201776567904,0.9015321929817812,0.91,0.97,0.7737819962098056,0.7737819962098056,171,1,NA
Stab-IPCW,100,100,1,0,0.9351853471549534,0.9351853471549534,0.8815960330096877,0.8902226718001942,0.84,0.96,0.8042264926731322,0.8042264926731322,70.96198965044529,2.2884236854170754,NA
