method,R,mean_cov,mcse_cov,med_cov,cov_q05,cov_q10,feasible_rate,fallback_rate,pac_success_nominal,pac_success_tol,mean_short,mean_abscal,med_lpb,mean_lpb,worst_slice,sd_tau,sd_cov,mean_maxwt,mean_ess,mean_clipfrac,mean_time_sec
Naive-Y,100,0.9417043717417966,0.0031351110909766224,0.9441956999839379,0.8882201776567904,0.9015321929817812,1,0,0.91,0.97,0.0021701041896971893,0.0460445801211909,0.7737819962098056,1.0556926586888984,0.7979053451068213,0.01639752383376185,0.03135111090976622,1,171,NA,0.08359999999999751
CC,100,0.9357356889260493,0.003238215536765748,0.9402207321478853,0.8815960330096877,0.8902226718001942,1,0,0.85,0.96,0.003239994414553691,0.04221567775515661,0.8133225714396848,1.1247720196857038,0.7881226446216801,0.01517573821278656,0.032382155367657484,1,74.13,NA,0.08354000000000125
HT-IPCW,100,0.9626229041343943,0.012392428925498212,1,0.7212185507030634,0.9545755211613046,0.12,0.88,0.9,0.91,0.024850153735958433,0.11232321160631119,0.23209382345508586,0.5673761112695227,0.9273774276597938,0.054086630846851946,0.12392428925498211,19.913675019990922,36.60233112526897,NA,0.43323000000000145
H-IPCW,100,0.899685513744573,0.005196626755572964,0.9113919670101392,0.7819448070237702,0.8289586309638931,1,0,0.6,0.74,0.01977383845428135,0.039233190653135665,0.9550717784558937,1.3572965397614296,0.7114636993529899,0.01734265483620304,0.05196626755572964,19.913675019990922,36.60233112526897,NA,0.09730000000000004
Stab-IPCW,100,0.9351853471549534,0.0032677946732301818,0.9379891321026796,0.8815960330096877,0.8902226718001942,1,0,0.84,0.96,0.003240876297029209,0.041667099749011734,0.8042264926731322,1.1267044096867622,0.7888757988583383,0.01537280821200968,0.032677946732301816,2.2884236854170754,70.96198965044529,NA,0.1038700000000007
Clip-IPCW,100,0.9238681561042862,0.00377621714733824,0.9281176954940105,0.8502320317987984,0.8865521528802791,1,0,0.8,0.93,0.0063029746471392435,0.03647410539856466,0.8810436937432067,1.211363850880497,0.7568218075605408,0.015168747775967172,0.0377621714733824,1.7567826484674156,71.3457809439771,0.10915732168106103,0.10958999999999998
H-AIPCW,100,0.9692400733023112,0.004268388189233669,0.9924555005145801,0.8832693224427881,0.9038657535011958,0.42,0.58,0.91,0.97,0.0020014930535561847,0.0732430594094236,0.2534764365299611,0.6505905672661533,0.899875068046627,0.029871610792073653,0.04268388189233669,19.913675019990922,36.60233112526897,NA,0.23828999999999992
Clip-AIPCW,100,0.9356575179238611,0.003333340353620334,0.9380838987645688,0.8815960330096877,0.8912266182013623,1,0,0.86,0.96,0.0034017670520869615,0.04246105202803496,0.8092194612003751,1.1260658019884078,0.786061855225098,0.01713729467234746,0.03333340353620334,1.7567826484674156,71.3457809439771,0.10915732168106103,0.2558899999999998
